organism_level_trait	QTL_Chr	QTL	mediator_transcript	mediator_gene	eQTL	mediation_estimate	adjusted_p	prop_med	q99_mediator
telomere_resids	II	14156272	Y46E12BL.3.1	spsb-2	14455896	0.0156309027998978	0.194	NA	Other genes
telomere_resids	II	14156272	Y46G5A.15.1	Y46G5A.15	12799356	0.0196246338237682	0.205	NA	Other genes
telomere_resids	II	14156272	Y38E10A.26.1	nspe-2	12852397	0.0276605145563597	0.213	NA	Other genes
telomere_resids	II	14156272	T19C9.8.1	T19C9.8	13158734	0.0309833003467429	0.218	NA	Other genes
telomere_resids	II	14156272	F58G11.2a.1	rde-12	14951586	0.0154520573755231	0.221	NA	Other genes
telomere_resids	II	14156272	F35C5.8.1	clec-65	12619254	0.0180918512331244	0.225	NA	Other genes
telomere_resids	II	14156272	F28B3.4d.1	dip-2	12132844	0.0334548484993395	0.235	NA	Other genes
telomere_resids	II	14156272	Y39G8C.4.1	col-87	14405950	0.0126052949820458	0.244	NA	Other genes
telomere_resids	II	14156272	F57G9.6	F57G9.6	12400689	0.0290065031703727	0.248	NA	Other genes
telomere_resids	II	14156272	ZK112.2d.1	ncl-1	13108012	0.0215298881064947	0.253	NA	Other genes
telomere_resids	II	14156272	Y17G7B.5b.1	mcm-2	12003112	0.0145241241705632	0.254	NA	Other genes
telomere_resids	II	14156272	Y46E12BL.4g.1	spsb-1	13460310	0.0214818742430059	0.254	NA	Other genes
telomere_resids	II	14156272	Y38E10A.11.1	nspe-4	12625922	0.0211414401717339	0.256	NA	Other genes
telomere_resids	II	14156272	C31C9.4	fbxa-168	13643172	0.0147642687863118	0.261	NA	Other genes
telomere_resids	II	14156272	Y38E10A.22a.2	Y38E10A.22	12618952	0.0172921931620067	0.267	NA	Other genes
telomere_resids	II	14156272	Y53F4B.16	Y53F4B.16	14870791	0.0593969543134702	0.271	NA	Other genes
telomere_resids	II	14156272	W01D2.2c.1	nhr-61	14653887	0.0109036102159879	0.276	NA	Other genes
telomere_resids	II	14156272	W03C9.2.1	W03C9.2	12049740	0.0128881914626904	0.28	NA	Other genes
telomere_resids	II	14156272	Y17G9B.1.1	npp-26	13339660	0.0184152787813388	0.283	NA	Other genes
telomere_resids	II	14156272	W04H10.6a.1	W04H10.6	13158734	0.0337437214845397	0.294	NA	Other genes
telomere_resids	II	14156272	F44E5.5.1	F44E5.5	11733366	0.0175260090717142	0.298	NA	Other genes
telomere_resids	II	14156272	Y46G5A.18a.1	Y46G5A.18	12775083	0.0103370348430978	0.3	NA	Other genes
telomere_resids	II	14156272	Y57A10A.15.1	polg-1	12128101	0.0317473134515814	0.305	NA	Other genes
telomere_resids	II	14156272	ZK131.7.1	his-13	13817664	0.0173188319133064	0.305	NA	Other genes
telomere_resids	II	14156272	F26H11.4.1	F26H11.4	15175263	0.0103823363829125	0.306	NA	Other genes
telomere_resids	II	14156272	W01D2.2a.2	nhr-61	14962263	0.00842867365468439	0.314	NA	Other genes
telomere_resids	II	14156272	T10B9.2.1	cyp-13A5	9550112	0.0206441981481133	0.317	NA	Other genes
telomere_resids	II	14156272	H14N18.4b.1	H14N18.4	12428734	0.0114607639279217	0.32	NA	Other genes
telomere_resids	II	14156272	ZK131.3.1	his-9	13817664	0.0173188319133064	0.321	NA	Other genes
telomere_resids	II	14156272	Y17G7B.23a.1	Y17G7B.23	12058375	0.0180788219148478	0.325	NA	Other genes
telomere_resids	II	14156272	Y37H2A.6.1	fbxa-211	12735248	0.011660915244604	0.327	NA	Other genes
telomere_resids	II	14156272	F32A11.4	F32A11.4	13148489	0.0266179233842669	0.337	NA	Other genes
telomere_resids	II	14156272	C29E6.1c.1	let-653	12162900	0.0127598816394735	0.343	NA	Other genes
telomere_resids	II	14156272	C04H5.7a.1	C04H5.7	15113045	0.00978244466922638	0.344	NA	Other genes
telomere_resids	II	14156272	R07C3.11a.1	fbxc-24	13339660	0.0144206179266614	0.347	NA	Other genes
telomere_resids	II	14156272	Y48E1C.2.1	Y48E1C.2	13557834	0.0125777476578719	0.347	NA	Other genes
telomere_resids	II	14156272	Y46G5A.5.1	pisy-1	12724884	0.0148841862584256	0.356	NA	Other genes
telomere_resids	II	14156272	Y46E12BL.4b.1	spsb-1	14528735	0.0192764821038652	0.361	NA	Other genes
telomere_resids	II	14156272	Y48B6A.13.1	Y48B6A.13	14223597	0.00965066679293031	0.368	NA	Other genes
telomere_resids	II	14156272	Y46E12BL.4c.2	spsb-1	15112148	0.0134328778696932	0.371	NA	Other genes
telomere_resids	II	14156272	C50E10.2a.2	C50E10.2	12609559	0.00814819965597774	0.373	NA	Other genes
telomere_resids	II	14156272	R12E2.10.2	egg-5	13297850	0.0243997797156596	0.373	NA	Other genes
telomere_resids	II	14156272	Y54G9A.7.1	Y54G9A.7	13739471	0.0148257845470726	0.373	NA	Other genes
telomere_resids	II	14156272	Y17G7B.11.1	arrd-7	12061666	0.0124656991360904	0.377	NA	Other genes
telomere_resids	II	14156272	ZK131.1.1	his-26	13783894	0.0118317983466929	0.377	NA	Other genes
telomere_resids	II	14156272	ZK131.4.1	his-10	13783894	0.0118317983466929	0.379	NA	Other genes
telomere_resids	II	14156272	K08C9.4.1	col-65	13108012	0.00718483923799558	0.38	NA	Other genes
telomere_resids	II	14156272	C35B1.8.1	C35B1.8	12149641	0.0150401316876083	0.384	NA	Other genes
telomere_resids	II	14156272	ZK131.2.1	his-25	13817664	0.0166896527934701	0.384	NA	Other genes
telomere_resids	II	14156272	E01G4.1a.1	tbc-14	13510131	0.0186015135822754	0.387	NA	Other genes
telomere_resids	II	14156272	C44B7.2a.1	hrpl-1	13557834	0.0107562441876257	0.39	NA	Other genes
telomere_resids	II	14156272	C05D12.2.1	C05D12.2	11442717	0.00764951693928786	0.395	NA	Other genes
telomere_resids	II	14156272	C31C9.8.1	fbxa-169	13667668	0.018768641913437	0.397	NA	Other genes
telomere_resids	II	14156272	Y48E1C.2.2	Y48E1C.2	13557834	0.0128106282452624	0.402	NA	Other genes
telomere_resids	II	14156272	ZK131.8.1	his-14	13783894	0.0118317983466929	0.408	NA	Other genes
telomere_resids	II	14156272	C54E10.1	C54E10.1	14292281	0.00752306569223352	0.409	NA	Other genes
telomere_resids	II	14156272	Y46G5A.20.1	Y46G5A.20	12807953	0.0128727378658209	0.41	NA	Other genes
telomere_resids	II	14156272	Y57A10A.6	Y57A10A.6	12170754	0.00536863575224937	0.411	NA	Other genes
telomere_resids	II	14156272	F33H2.3.1	F33H2.3	12346336	0.016099141540851	0.417	NA	Other genes
telomere_resids	II	14156272	E01G4.1a.2	tbc-14	13510131	0.0164161549804694	0.418	NA	Other genes
telomere_resids	II	14156272	F49C5.4.1	F49C5.4	12534848	0.00703866620103669	0.42	NA	Other genes
telomere_resids	II	14156272	T08H4.3.1	ast-1	14555009	0.00869323572915465	0.425	NA	Other genes
telomere_resids	II	14156272	C50E10.2c.1	C50E10.2	12301768	0.00551975015579285	0.44	NA	Other genes
telomere_resids	II	14156272	Y46G5A.14.2	Y46G5A.14	12775053	0.00648281375846565	0.447	NA	Other genes
telomere_resids	II	14156272	R06A4.8.2	agl-1	14090104	0.00451368500141391	0.45	NA	Other genes
telomere_resids	II	14156272	Y54G11A.3.1	Y54G11A.3	14555097	0.00927331460977105	0.452	NA	Other genes
telomere_resids	II	14156272	R12E2.4b.1	inx-17	13297850	0.00657792532261119	0.454	NA	Other genes
telomere_resids	II	14156272	Y38E10A.10	lips-16	12737784	0.00886891395142563	0.458	NA	Other genes
telomere_resids	II	14156272	F43G6.11.2	hda-5	11865989	0.0079344816344616	0.459	NA	Other genes
telomere_resids	II	14156272	ZK131.11b.2	ZK131.11	13850870	0.0142666085877878	0.462	NA	Other genes
telomere_resids	II	14156272	Y38E10A.22c.1	Y38E10A.22	12709944	0.00509229810798129	0.466	NA	Other genes
telomere_resids	II	14156272	C31C9.8.2	fbxa-169	13855665	0.0117482487123155	0.47	NA	Other genes
telomere_resids	II	14156272	F01D5.2.1	F01D5.2	14014821	0.0194648830307838	0.47	NA	Other genes
telomere_resids	II	14156272	Y57A10A.31.1	Y57A10A.31	12346336	0.0100200106761975	0.475	NA	Other genes
telomere_resids	II	14156272	T21B4.9.1	srh-70	12517333	0.0120539577315664	0.477	NA	Other genes
telomere_resids	II	14156272	Y46G5A.43	Y46G5A.43	12797115	0.00462210832305955	0.481	NA	Other genes
telomere_resids	II	14156272	Y54E2A.3.2	tac-1	15111383	0.0144509759814326	0.487	NA	Other genes
telomere_resids	II	14156272	Y17G7B.3.2	Y17G7B.3	11963381	0.00699844486226831	0.488	NA	Other genes
telomere_resids	II	14156272	K05F6.16	K05F6.16	14599960	0.00771957624126926	0.49	NA	Other genes
telomere_resids	II	14156272	H10E21.5.2	H10E21.5	13539391	0.00728622783461835	0.493	NA	Other genes
telomere_resids	II	14156272	T11A5.6c.1	clp-9	14106871	0.00528261654340669	0.497	NA	Other genes
telomere_resids	II	14156272	W01D2.2a.1	nhr-61	14350489	0.0149669609216725	0.497	NA	Other genes
telomere_resids	II	14156272	Y39G8C.2.1	Y39G8C.2	14154809	0.0161489859833507	0.499	NA	Other genes
telomere_resids	II	14156272	Y48E1B.7.1	lin-38	13610369	0.00812202785050156	0.499	NA	Other genes
telomere_resids	II	14156272	Y53F4B.33.1	gst-39	14628657	0.0199838358890018	0.502	NA	Other genes
telomere_resids	II	14156272	Y57A10A.5.1	Y57A10A.5	12132844	0.0150880765782239	0.508	NA	Other genes
telomere_resids	II	14156272	2RSSE.3	2RSSE.3	14884692	0.017045391410886	0.513	NA	Other genes
telomere_resids	II	14156272	C27A7.6c.1	C27A7.6	11958857	0.00566686799371427	0.517	NA	Other genes
telomere_resids	II	14156272	F14B8.5a.1	F14B8.5	14139853	0.00700503531410831	0.517	NA	Other genes
telomere_resids	II	14156272	F08G2.1.1	his-44	13847471	0.0104961194073878	0.519	NA	Other genes
telomere_resids	II	14156272	Y53F4B.29.1	gst-26	14936181	0.0058601600597374	0.519	NA	Other genes
telomere_resids	II	14156272	F43D9.1.1	F43D9.1	13273993	0.00386014942231977	0.521	NA	Other genes
telomere_resids	II	14156272	C01G12.12	C01G12.12	15113045	0.00414515746113781	0.523	NA	Other genes
telomere_resids	II	14156272	Y48C3A.18a.2	Y48C3A.18	13412550	0.0058383827410672	0.523	NA	Other genes
telomere_resids	II	14156272	Y53F4B.18.1	Y53F4B.18	14199310	0.0112940782162711	0.525	NA	Other genes
telomere_resids	II	14156272	T26E3.7.1	T26E3.7	13160635	0.0106496683288883	0.528	NA	Other genes
telomere_resids	II	14156272	F54D5.11.2	gtf-2E2	11524598	0.00516147052190546	0.529	NA	Other genes
telomere_resids	II	14156272	W07G1.3.1	zip-3	13512067	0.00418724335842315	0.534	NA	Other genes
telomere_resids	II	14156272	C08F1.10.1	C08F1.10	13339660	0.00880938916084955	0.536	NA	Other genes
telomere_resids	II	14156272	Y38E10A.15.1	nspe-7	12713896	0.00485645238473749	0.536	NA	Other genes
telomere_resids	II	14156272	Y46G5A.18a.2	Y46G5A.18	12705177	0.00489026885398034	0.537	NA	Other genes
telomere_resids	II	14156272	Y48B6A.13.2	Y48B6A.13	14223597	0.00666503299291225	0.537	NA	Other genes
telomere_resids	II	14156272	ZK131.5.1	his-11	13847471	0.0104961194073878	0.537	NA	Other genes
telomere_resids	II	14156272	K09E4.3a.2	K09E4.3	14123563	0.0158781300665237	0.548	NA	Other genes
telomere_resids	II	14156272	Y71G12B.18b.1	Y71G12B.18	15111383	0.0115279152544338	0.549	NA	Other genes
telomere_resids	II	14156272	ZK131.9.1	his-15	13847471	0.0104961194073878	0.549	NA	Other genes
telomere_resids	II	14156272	JC8.6d.1	lin-54	14951586	0.00457428019240798	0.564	NA	Other genes
telomere_resids	II	14156272	C31C9.1c.1	tag-10	13610515	0.00788684293853645	0.567	NA	Other genes
telomere_resids	II	14156272	W06F12.1d.2	lit-1	13342336	0.0037747167625229	0.567	NA	Other genes
telomere_resids	II	14156272	R155.1a.2	mboa-6	12001295	0.00870225377860155	0.571	NA	Other genes
telomere_resids	II	14156272	W09H1.6a.2	lec-1	13198189	0.00437164416654352	0.571	NA	Other genes
telomere_resids	II	14156272	F26A10.2.1	F26A10.2	13265642	0.00366799367067801	0.574	NA	Other genes
telomere_resids	II	14156272	W01G7.2	W01G7.2	14033505	0.012661436147913	0.575	NA	Other genes
telomere_resids	II	14156272	F17B5.1a.1	F17B5.1	13907987	0.00510693246713031	0.579	NA	Other genes
telomere_resids	II	14156272	Y73C8C.10.1	Y73C8C.10	13071904	0.00682908228638257	0.579	NA	Other genes
telomere_resids	II	14156272	T23H2.4.1	mam-8	13176850	0.00292628158891736	0.58	NA	Other genes
telomere_resids	II	14156272	C29F9.1.1	pals-22	12137403	0.007505118360152	0.583	NA	Other genes
telomere_resids	II	14156272	Y71G12B.9a.1	lin-65	13467594	0.00460318023409482	0.586	NA	Other genes
telomere_resids	II	14156272	Y110A7A.18.2	ppw-2	12203647	0.00363696481550447	0.587	NA	Other genes
telomere_resids	II	14156272	Y38E10A.7.1	lips-15	12666358	0.00645142083791849	0.587	NA	Other genes
telomere_resids	II	14156272	C14C6.8.1	C14C6.8	14906775	0.00372206789873016	0.588	NA	Other genes
telomere_resids	II	14156272	F19C7.7.2	col-110	12759806	0.0102930089288249	0.591	NA	Other genes
telomere_resids	II	14156272	Y38E10A.28.1	Y38E10A.28	12607280	0.00673081925105318	0.6	NA	Other genes
telomere_resids	II	14156272	Y57A10A.31.2	Y57A10A.31	12229812	0.00929882778994994	0.6	NA	Other genes
telomere_resids	II	14156272	Y81G3A.4a.1	Y81G3A.4	13265642	0.00291603739064714	0.6	NA	Other genes
telomere_resids	II	14156272	M60.2.2	endu-2	13176850	0.00303900523271744	0.603	NA	Other genes
telomere_resids	II	14156272	B0511.10.1	eif-3.E	13234805	0.00443621822682082	0.607	NA	Other genes
telomere_resids	II	14156272	R05H10.1.2	R05H10.1	14906775	0.00665000720596041	0.624	NA	Other genes
telomere_resids	II	14156272	C18G1.8.1	C18G1.8	14074934	0.00324373697816287	0.625	NA	Other genes
telomere_resids	II	14156272	F32A11.2.1	hpr-17	13157045	0.0102943166369496	0.626	NA	Other genes
telomere_resids	II	14156272	C10F3.6.2	fut-8	13001144	0.00573108728043237	0.627	NA	Other genes
telomere_resids	II	14156272	T06D8.10.2	T06D8.10	13176850	0.0061880024543917	0.629	NA	Other genes
telomere_resids	II	14156272	C54G4.7.2	C54G4.7	13878919	0.00545879657372394	0.63	NA	Other genes
telomere_resids	II	14156272	T06D8.1i.1	srap-1	11279813	0.00593217307607908	0.63	NA	Other genes
telomere_resids	II	14156272	F18A11.6	F18A11.6	13072177	0.0139339012995039	0.631	NA	Other genes
telomere_resids	II	14156272	C17H11.6c.1	C17H11.6	13273993	0.00313097314219801	0.632	NA	Other genes
telomere_resids	II	14156272	Y65B4BR.2a.1	lpr-1	13265642	0.00414831394410336	0.633	NA	Other genes
telomere_resids	II	14156272	F54D5.11.1	gtf-2E2	11524598	0.00705836109231522	0.636	NA	Other genes
telomere_resids	II	14156272	Y46G5A.7.1	Y46G5A.7	12735248	0.00255058606282895	0.636	NA	Other genes
telomere_resids	II	14156272	B0280.2.1	B0280.2	13519520	0.00637513449111483	0.642	NA	Other genes
telomere_resids	II	14156272	D1014.3b.1	snap-1	14016247	0.00360224616631173	0.645	NA	Other genes
telomere_resids	II	14156272	Y46G5A.25	snf-4	13107698	0.00318368103141022	0.645	NA	Other genes
telomere_resids	II	14156272	C03G5.9.1	nspc-2	13222389	0.00487521001692354	0.651	NA	Other genes
telomere_resids	II	14156272	K02C4.4a.1	ltd-1	14258126	0.00566927316101459	0.651	NA	Other genes
telomere_resids	II	14156272	Y53F4B.11a.1	Y53F4B.11	13949432	0.00261532428890259	0.651	NA	Other genes
telomere_resids	II	14156272	F52F10.4a.1	oac-32	13053228	0.00752148924006904	0.652	NA	Other genes
telomere_resids	II	14156272	F18A11.7	F18A11.7	13018346	0.0051985828864122	0.653	NA	Other genes
telomere_resids	II	14156272	Y46G5A.13.2	tiar-2	12799740	0.00439533116488898	0.653	NA	Other genes
telomere_resids	II	14156272	R05H10.5b.1	gpx-2	15113045	0.00284851810151404	0.663	NA	Other genes
telomere_resids	II	14156272	Y106G6H.12a.2	duo-3	13133463	0.0021852187986451	0.665	NA	Other genes
telomere_resids	II	14156272	R12E2.10.1	egg-5	13222375	0.00584102158294407	0.666	NA	Other genes
telomere_resids	II	14156272	Y19D10B.7.1	pud-1.2	14014821	0.00514220426976321	0.666	NA	Other genes
telomere_resids	II	14156272	C18G1.3a.2	bgnt-1.4	12910048	0.00400801859179203	0.669	NA	Other genes
telomere_resids	II	14156272	Y17G7B.11.2	arrd-7	12061666	0.0054771785912332	0.669	NA	Other genes
telomere_resids	II	14156272	E01G4.7	E01G4.7	13495889	0.0138240793588047	0.67	NA	Other genes
telomere_resids	II	14156272	F35C5.5b.1	clec-62	12878710	0.00182718007599972	0.671	NA	Other genes
telomere_resids	II	14156272	Y57A10A.18a.2	pqn-87	12231078	0.00471630601199753	0.672	NA	Other genes
telomere_resids	II	14156272	Y46G5A.34.2	Y46G5A.34	12659729	0.00157379539595653	0.681	NA	Other genes
telomere_resids	II	14156272	F15D4.1.2	btf-1	13215714	0.00257369874235849	0.69	NA	Other genes
telomere_resids	II	14156272	Y18H1A.11c.1	Y18H1A.11	12943220	0.00379020616398405	0.694	NA	Other genes
telomere_resids	II	14156272	F15E11.13.1	pud-1.1	14014821	0.00437530493152754	0.696	NA	Other genes
telomere_resids	II	14156272	C01G12.1.1	madf-5	14555009	0.00246394735520687	0.699	NA	Other genes
telomere_resids	II	14156272	F15E11.14.1	pud-2.2	14014821	0.00422099227647644	0.7	NA	Other genes
telomere_resids	II	14156272	F15E11.1.1	pud-2.1	14014821	0.00422099227647644	0.708	NA	Other genes
telomere_resids	II	14156272	Y57A10A.27.2	Y57A10A.27	12314626	0.00462331529172066	0.708	NA	Other genes
telomere_resids	II	14156272	F01D5.3.1	F01D5.3	14014821	0.00142536366151181	0.711	NA	Other genes
telomere_resids	II	14156272	Y54G11B.1.2	dmsr-6	15111383	0.0139597669321415	0.711	NA	Other genes
telomere_resids	II	14156272	VH15N14R.1.1	VH15N14R.1	14060605	0.00240701163131928	0.712	NA	Other genes
telomere_resids	II	14156272	Y6D1A.1.1	Y6D1A.1	11807503	0.00856976575159648	0.712	NA	Other genes
telomere_resids	II	14156272	Y47D3B.1.1	subs-4	15120251	0.00191342477257449	0.714	NA	Other genes
telomere_resids	II	14156272	Y53F4B.13a.1	Y53F4B.13	14906775	0.00602257925728773	0.714	NA	Other genes
telomere_resids	II	14156272	T14F9.4a.1	peb-1	13273993	0.00271727256013555	0.717	NA	Other genes
telomere_resids	II	14156272	Y48B6A.11.2	jmjd-2	14223597	0.00182304630867325	0.717	NA	Other genes
telomere_resids	II	14156272	F57C2.2.1	btb-19	13934817	0.001442230339173	0.725	NA	Other genes
telomere_resids	II	14156272	F41C6.5.2	col-173	14258126	0.00182538348393673	0.726	NA	Other genes
telomere_resids	II	14156272	Y38E10A.14.1	Y38E10A.14	12625922	0.00347955140446185	0.727	NA	Other genes
telomere_resids	II	14156272	Y57A10A.27.1	Y57A10A.27	12326138	0.00249857076100225	0.727	NA	Other genes
telomere_resids	II	14156272	E02H1.4.2	parp-2	12525946	0.00279803211736018	0.729	NA	Other genes
telomere_resids	II	14156272	F45H10.1b.1	alh-7	13484823	0.00119054325932251	0.73	NA	Other genes
telomere_resids	II	14156272	C50E10.2b.1	C50E10.2	12308692	0.0038310754606104	0.731	NA	Other genes
telomere_resids	II	14156272	Y54E2A.9.2	Y54E2A.9	14572783	0.00439675832733776	0.731	NA	Other genes
telomere_resids	II	14156272	Y48B6A.10.1	Y48B6A.10	14179431	0.00805846252249729	0.732	NA	Other genes
telomere_resids	II	14156272	F40F9.10.1	F40F9.10	14485466	0.00320259323658745	0.734	NA	Other genes
telomere_resids	II	14156272	Y46G5A.19a.1	spds-1	12812805	0.00357464449239071	0.736	NA	Other genes
telomere_resids	II	14156272	Y38F1A.4.1	Y38F1A.4	12963684	0.00619138341716183	0.737	NA	Other genes
telomere_resids	II	14156272	Y48B6A.6c.1	efhd-1	13949432	0.00389116526979273	0.738	NA	Other genes
telomere_resids	II	14156272	Y55F3AM.14.2	Y55F3AM.14	14870791	0.00169684238243445	0.738	NA	Other genes
telomere_resids	II	14156272	ZK637.12.2	ZK637.12	12716738	0.00280435530567031	0.742	NA	Other genes
telomere_resids	II	14156272	K04B12.3b.2	smg-8	14443859	0.0113426342962458	0.745	NA	Other genes
telomere_resids	II	14156272	C03E10.5.1	clec-223	14951586	0.0014193090113099	0.746	NA	Other genes
telomere_resids	II	14156272	C04H5.2.1	clec-147	14292281	0.00476441857993246	0.746	NA	Other genes
telomere_resids	II	14156272	Y46G5A.12.1	vps-2	12786409	0.00255429604373122	0.75	NA	Other genes
telomere_resids	II	14156272	C13C12.2.1	C13C12.2	13265642	0.000901889169146434	0.751	NA	Other genes
telomere_resids	II	14156272	C23H3.4a.1	sptl-1	14583673	0.00313446345164601	0.753	NA	Other genes
telomere_resids	II	14156272	Y48C3A.18a.1	Y48C3A.18	13412550	0.00179785963431429	0.753	NA	Other genes
telomere_resids	II	14156272	Y57A10A.25.2	parn-2	12247349	0.00182858656049732	0.753	NA	Other genes
telomere_resids	II	14156272	T08G11.1b.2	T08G11.1	14031881	0.00537004146547548	0.756	NA	Other genes
telomere_resids	II	14156272	Y48B6A.16	Y48B6A.16	14295590	0.00236698481741958	0.759	NA	Other genes
telomere_resids	II	14156272	E01G4.5.1	E01G4.5	13495889	0.00560155852747096	0.762	NA	Other genes
telomere_resids	II	14156272	F01E11.1.1	ugt-57	13158734	0.00075285380720289	0.763	NA	Other genes
telomere_resids	II	14156272	Y48E1B.3d.1	Y48E1B.3	13504855	0.00461178315254449	0.764	NA	Other genes
telomere_resids	II	14156272	Y53F4B.35.1	gst-31	14610754	0.00376268653569158	0.764	NA	Other genes
telomere_resids	II	14156272	C01G12.7.1	C01G12.7	14884692	0.00561978490274286	0.765	NA	Other genes
telomere_resids	II	14156272	T21E3.1.1	egg-4	13493538	0.00186609304499021	0.765	NA	Other genes
telomere_resids	II	14156272	Y17G7B.17.2	Y17G7B.17	12095290	0.00106445132129194	0.765	NA	Other genes
telomere_resids	II	14156272	ZK1290.8.1	wrt-10	13265642	0.000799660716493379	0.766	NA	Other genes
telomere_resids	II	14156272	R05H10.2.2	rbm-28	14572783	0.00195154150367317	0.768	NA	Other genes
telomere_resids	II	14156272	Y48E1B.8.1	Y48E1B.8	13585542	0.00213349710844792	0.768	NA	Other genes
telomere_resids	II	14156272	W03F9.4a.1	W03F9.4	13273993	0.00173644716092522	0.769	NA	Other genes
telomere_resids	II	14156272	F32D1.11.1	F32D1.11	13265642	0.00131497791631676	0.774	NA	Other genes
telomere_resids	II	14156272	Y57A10A.19.1	rsr-2	12454247	0.00537346291224515	0.774	NA	Other genes
telomere_resids	II	14156272	C07H6.2.1	C07H6.2	13557834	0.00061112598779139	0.778	NA	Other genes
telomere_resids	II	14156272	F26D10.11.1	lhfp-4	13265642	0.002951903536487	0.78	NA	Other genes
telomere_resids	II	14156272	F53F4.2.1	F53F4.2	14870791	0.00212910292100218	0.78	NA	Other genes
telomere_resids	II	14156272	F44G4.2.1	F44G4.2	12713896	0.000907220672279687	0.782	NA	Other genes
telomere_resids	II	14156272	Y51H1A.3a.2	Y51H1A.3	13965856	0.00812095454731823	0.783	NA	Other genes
telomere_resids	II	14156272	C34D10.1.2	C34D10.1	13265642	0.00135929400475255	0.784	NA	Other genes
telomere_resids	II	14156272	Y53F4B.6	Y53F4B.6	14301652	0.00869199876955665	0.784	NA	Other genes
telomere_resids	II	14156272	K01A2.8d.1	mps-2	14060605	0.000642248170938592	0.785	NA	Other genes
telomere_resids	II	14156272	Y46G5A.17.2	cpt-1	12487352	0.00273242616209343	0.785	NA	Other genes
telomere_resids	II	14156272	C47G2.5b.1	saps-1	11146347	0.0022581674382874	0.787	NA	Other genes
telomere_resids	II	14156272	R09E10.5.1	R09E10.5	13273993	0.00181845791851058	0.787	NA	Other genes
telomere_resids	II	14156272	F39H11.5.2	pbs-7	12181192	0.00138117568655138	0.792	NA	Other genes
