WormBaseGeneID	RILtrait	RILe_chr	RILe_peak	RIL_var_exp	gene_Chr	gene_start	gene_end	RILe_start	RILe_end	RILeQTL_classification	RILHyperDivergent	RILhotspot_Chr	RILhotspot_cM	RILHotspot	RILHotspot_QTL_count	Hotspots_Detected_in_WIeQTL	Merged_RILHotspots_cM	merged_RILHotspots_QTL_count	Detected_in_WIeQTL	Chr_pos	eChr_pos
WBGene00001795	A_12_P100182	X	3843271	0.141722275855195	IV	11248883	11259536	3789476	4322768	Distant eQTL	No	X	12	Yes	73		12	73	NA	IV	X
WBGene00007388	A_12_P100247	I	1169919	0.0491706902868845	V	11141478	11143126	1041272	1280348	Distant eQTL	No	I	5	No	3	NA	NA	NA	NA	V	I
WBGene00017965	A_12_P100286	V	5269261	0.133134109034972	V	6270852	6274911	5149493	5614890	Distant eQTL	No	V	18	Yes	10		18	10	NA	V	V
WBGene00017965	A_12_P100286	X	3843271	0.00223495381971329	V	6270852	6274911	3789476	4025890	Distant eQTL	No	X	12	Yes	73		12	73	NA	V	X
WBGene00001457	A_12_P100293	X	4758185	0.38101607391243	III	12910467	12914930	4674201	4958735	Distant eQTL	No	X	14.5	Yes	63	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	III	X
WBGene00001434	A_12_P100295	IV	7328515	0.14248414170771	X	3740571	3742323	6945644	8696159	Distant eQTL	No	IV	31	Yes	18	Yes	30.5, 31, 31.5, 32	48	Yes	X	IV
WBGene00001434	A_12_P100295	II	8864770	1.97987864050621e-05	X	3740571	3742323	8707524	9145624	Distant eQTL	No	II	19	Yes	15	Yes	19	15	NA	X	II
WBGene00016555	A_12_P100298	II	1990551	0.480879340473214	II	1996530	1998543	1988126	2075279	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00021457	A_12_P100302	II	1718365	0.132546849909961	II	675603	678420	1041078	1857345	Distant eQTL	No	II	3.5	Yes	6		3.5	6	NA	II	II
WBGene00021457	A_12_P100302	IV	12963367	0.00248396623306989	II	675603	678420	12868784	13098759	Distant eQTL	No	IV	34.5	No	5	NA	NA	NA	NA	II	IV
WBGene00021457	A_12_P100302	V	20486369	0.00170057360616784	II	675603	678420	20135235	20921615	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	II	V
WBGene00012699	A_12_P100334	V	18938530	0.213227393242384	V	18970500	18977976	18916789	19132445	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00011934	A_12_P100354	I	11868440	0.243486951401207	I	11694722	11694997	11833643	11926653	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	I	I
WBGene00018619	A_12_P100388	X	4862702	0.13032412065365	V	627022	627685	4171941	5676445	Distant eQTL	No	X	15	Yes	45	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	V	X
WBGene00012634	A_12_P100396	V	20445160	0.686966021941762	V	20555690	20556360	20322261	20484393	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00014047	A_12_P100405	X	5526747	0.148715452195753	II	10488730	10490514	4674201	5676445	Distant eQTL	No	X	16	Yes	35	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	II	X
WBGene00014047	A_12_P100405	V	15426259	0.0191406576761724	II	10488730	10490514	15339524	15665189	Distant eQTL	No	V	28.5	No	2	NA	NA	NA	NA	II	V
WBGene00003652	A_12_P100420	II	14204646	0.103234422532535	I	9839539	9844809	14070545	14243104	Distant eQTL	No	II	41	Yes	10		41	10	NA	I	II
WBGene00008101	A_12_P100422	V	12403730	0.170139127371787	V	12842489	12845336	12257725	12903236	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00012295	A_12_P100428	X	11847730	0.683874877601711	X	12014249	12018043	11827052	11897385	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	X	X
WBGene00021076	A_12_P100440	II	643539	0.21328614968475	II	476222	478063	6368	693206	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00018934	A_12_P100443	IV	787345	0.158343642200696	IV	795750	796574	122764	986168	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00018934	A_12_P100443	X	3618239	0.0343467554658035	IV	795750	796574	3023568	3991931	Distant eQTL	No	X	11.5	No	3	NA	NA	NA	NA	IV	X
WBGene00012974	A_12_P100446	III	11107793	0.156608412924592	III	11101268	11107206	11063857	11297002	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	III	III
WBGene00013343	A_12_P100452	V	5019415	0.101660743846403	V	18022479	18042365	4445869	5261629	Distant eQTL	No	V	16.5	Yes	11		16.5	11	NA	V	V
WBGene00019092	A_12_P100464	X	5526747	0.101494640270959	V	2022674	2024710	3713398	6076783	Distant eQTL	No	X	16	Yes	35	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	V	X
WBGene00008588	A_12_P100487	X	11328403	0.341687573660582	X	11308701	11310285	11270961	11600428	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00008588	A_12_P100487	II	1418895	0.00117004779082988	X	11308701	11310285	1417887	1718365	Distant eQTL	No	II	3	No	3	NA	NA	NA	NA	X	II
WBGene00015434	A_12_P100493	V	3427441	0.788101882942169	V	3362775	3368344	3427228	3491728	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00000283	A_12_P100498	IV	7641964	0.177993184456456	X	7020024	7023950	7124538	8963101	Distant eQTL	No	IV	31	Yes	18	Yes	30.5, 31, 31.5, 32	48	NA	X	IV
WBGene00001541	A_12_P100514	II	2611357	0.379435631230584	II	3192420	3197066	2605505	2707200	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00006199	A_12_P100515	II	7337528	0.127061446950241	IV	4934403	4936741	6419993	7433744	Distant eQTL	No	II	19	Yes	15	Yes	19	15	NA	IV	II
WBGene00017806	A_12_P100522	X	8465070	0.110019805995717	III	4820651	4822236	6996850	10235123	Distant eQTL	No	X	21.5	No	4	NA	NA	NA	NA	III	X
WBGene00017806	A_12_P100522	V	5030874	0.00112172747618937	III	4820651	4822236	4165560	5703972	Distant eQTL	No	V	16.5	Yes	11		16.5	11	NA	III	V
WBGene00018390	A_12_P100529	II	7433744	0.504923616929774	II	7375220	7377581	7367480	7692763	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00018138	A_12_P100536	V	2819653	0.417961401652993	V	2872465	2875600	2759587	2935566	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00018138	A_12_P100536	X	12932361	0.00246871869304773	V	2872465	2875600	12893347	13024411	Distant eQTL	No	X	30.5	No	3	NA	NA	NA	NA	V	X
WBGene00019970	A_12_P100545	V	3685467	0.195546173577631	V	3790070	3793748	3671227	3897200	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00019970	A_12_P100545	X	5714088	0.0499857191838339	V	3790070	3793748	4483054	5993800	Distant eQTL	No	X	17	Yes	19	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	V	X
WBGene00008323	A_12_P100557	II	3331906	0.139267987285171	V	15648035	15648852	3223762	3542182	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	V	II
WBGene00016027	A_12_P100561	IV	2116532	0.734582889078687	IV	2111890	2113422	2088318	2135122	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00000904	A_12_P100562	I	8346637	0.265957921724229	I	8584081	8587507	7969987	8955681	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	I	I
WBGene00012564	A_12_P100564	V	17973702	0.121818801682241	V	18123939	18128497	17936259	18174312	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00002100	A_12_P100566	X	5361887	0.188495165203435	III	4476813	4477583	4753798	5676445	Distant eQTL	No	X	16	Yes	35	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	III	X
WBGene00021363	A_12_P100569	IV	3777826	0.154145957678593	IV	3687306	3694837	3584623	3857221	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00022327	A_12_P100574	III	1452343	0.396291161247306	III	1318934	1321671	1395216	1460260	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	III	III
WBGene00019289	A_12_P100577	IV	6062184	0.547223656602731	II	7425932	7434282	5838650	6109938	Distant eQTL	No	IV	30.5	Yes	10	Yes	30.5, 31, 31.5, 32	48	NA	II	IV
WBGene00019289	A_12_P100577	V	14789933	0.00616559240128589	II	7425932	7434282	14290503	15132428	Distant eQTL	No	V	27	No	3	NA	NA	NA	NA	II	V
WBGene00013002	A_12_P100617	II	13542748	0.236008439462197	II	13547739	13567999	13533998	13578819	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00021205	A_12_P100621	IV	4761504	0.786773894950092	IV	4757177	4758840	4757132	4844241	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00044073	A_12_P100625	IV	1562568	0.303275752572444	IV	1550878	1553119	1497020	1575852	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00009857	A_12_P100627	X	4536045	0.229018038706936	V	16865704	16867256	3946591	4566632	Distant eQTL	No	X	14	Yes	15	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	V	X
WBGene00017954	A_12_P100628	II	7399295	0.199197102079228	II	6799111	6800154	6419993	8864770	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00011546	A_12_P100630	I	12719079	0.447484151454701	I	12712079	12714728	12690450	12732062	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
WBGene00004856	A_12_P100652	III	8659106	0.112580054699673	III	8749763	8757089	6268573	9210994	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00009222	A_12_P100658	V	15572136	0.762223390338076	V	15571474	15572716	15540993	15619566	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00018203	A_12_P100674	X	16021441	0.128251837596024	X	16891982	16893148	15803787	17709225	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	X	X
WBGene00008633	A_12_P100681	V	16307111	0.360834836236294	V	16143558	16144664	16188475	16436223	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00016916	A_12_P100682	X	5341098	0.192343717821481	X	7838882	7839381	4630882	5676445	Distant eQTL	No	X	15.5	Yes	34	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	X	X
WBGene00018804	A_12_P100688	II	4678773	0.114704792630276	II	3812282	3813428	4119401	5061727	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00012591	A_12_P100714	II	12607036	0.775260126226649	II	12620649	12620864	12603370	12610701	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00017594	A_12_P100722	X	4501238	0.165148042878584	IV	4602865	4605672	3946591	4656473	Distant eQTL	No	X	14	Yes	15	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	IV	X
WBGene00018298	A_12_P100753	X	6953360	0.127816076497343	II	6765034	6765893	6300921	7838301	Distant eQTL	No	X	19.5	Yes	13		19.5	13	NA	II	X
WBGene00018298	A_12_P100753	IV	15399516	0.0221111237325535	II	6765034	6765893	15393010	15480399	Distant eQTL	No	IV	41.5	Yes	20	Yes	41.5, 42	61	NA	II	IV
WBGene00016074	A_12_P100764	II	733570	0.0910825834487936	II	406131	410961	6368	1324489	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00016758	A_12_P100765	IV	6109938	0.309223694342723	IV	6219582	6222357	5646749	6488811	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00016758	A_12_P100765	IV	1697436	0.00162037021573923	IV	6219582	6222357	1500428	1782015	Distant eQTL	No	IV	12	No	4	NA	NA	NA	NA	IV	IV
WBGene00013997	A_12_P100777	IV	16529740	0.826456704725235	IV	17250131	17254964	16527967	17490756	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00003620	A_12_P100798	II	7399295	0.111936785195793	II	7339229	7349133	6575108	8102088	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00044758	A_12_P100808	V	18117245	0.751195279177636	V	18129171	18131129	18112934	18145937	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00044758	A_12_P100808	II	12335050	0.00747383698754196	V	18129171	18131129	12254319	12370973	Distant eQTL	No	II	27.5	No	2	NA	NA	NA	NA	V	II
WBGene00006640	A_12_P100809	X	4862702	0.807588175814064	X	4866678	4874657	4785093	4893004	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00014155	A_12_P100817	II	11654614	0.230259160726079	II	11882614	11883512	11434074	12073118	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00014155	A_12_P100817	IV	6475869	0.00369640773908667	II	11882614	11883512	5531856	6766024	Distant eQTL	No	IV	30.5	Yes	10	Yes	30.5, 31, 31.5, 32	48	NA	II	IV
WBGene00016499	A_12_P100818	V	7738803	0.369977168806475	V	7835220	7837131	7626098	7970924	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00003706	A_12_P100824	V	16859250	0.706982819286027	V	16912228	16915352	16858940	16994282	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00019965	A_12_P100825	V	3685467	0.857530389893634	V	3777553	3784217	3682670	3778723	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00019189	A_12_P100828	IV	15143459	0.175668651758241	X	17710291	17711698	15084637	15380612	Distant eQTL	No	IV	40.5	No	2	NA	NA	NA	NA	X	IV
WBGene00004924	A_12_P100840	X	5341098	0.113081582841104	I	6436058	6441193	4165450	5922452	Distant eQTL	No	X	15.5	Yes	34	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	I	X
WBGene00022171	A_12_P100848	IV	4576321	0.101291263277598	III	2781011	2782819	4281922	5163110	Distant eQTL	No	IV	28	Yes	10	Yes	27.5, 28, 28.5, 29	66	NA	III	IV
WBGene00003644	A_12_P100858	V	16598569	0.682824297634414	V	16503947	16505917	16597288	16625100	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00007234	A_12_P100862	V	13010814	0.14976517172435	V	15085743	15086921	12805611	13228106	Distant eQTL	No	V	25	Yes	14		25	14	NA	V	V
WBGene00004902	A_12_P100880	II	1223891	0.219570030988743	II	1092006	1097904	1041078	1618934	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00012748	A_12_P100883	V	12931140	0.137128955930865	IV	15219546	15220349	12486434	13158595	Distant eQTL	No	V	25	Yes	14		25	14	NA	IV	V
WBGene00012748	A_12_P100883	III	1362120	0.00984458537253604	IV	15219546	15220349	1187293	1460260	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	IV	III
WBGene00044811	A_12_P100887	V	2285994	0.438058035862206	II	3742457	3743831	2273283	2486879	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	II	V
WBGene00044811	A_12_P100887	II	2914161	0.0106577990695806	II	3742457	3743831	2901910	3026490	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00012416	A_12_P100910	IV	16167824	0.11335489624055	IV	16197017	16201745	15954820	16379127	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00011540	A_12_P100938	V	17733401	0.107119502787637	V	15417917	15419395	17538727	17814400	Distant eQTL	No	V	33.5	No	5	NA	NA	NA	NA	V	V
WBGene00012254	A_12_P100964	V	19727537	0.459431783779319	V	19756553	19758587	19703185	19785151	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00012254	A_12_P100964	I	6651082	1.89555452636022e-05	V	19756553	19758587	4775095	7273652	Distant eQTL	No	I	23.5	No	1	NA	NA	NA	NA	V	I
WBGene00003651	A_12_P100985	II	14204646	0.10087777177081	II	14816130	14840009	14136063	14391450	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00020126	A_12_P101000	X	5576572	0.177238341374787	X	7029136	7029638	4674201	5676445	Distant eQTL	No	X	16.5	Yes	44	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	X	X
WBGene00014998	A_12_P101006	X	2241158	0.122694877344977	X	2243602	2247008	1142327	2536346	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00014998	A_12_P101006	IV	13813174	0.00216456731958995	X	2243602	2247008	13608743	14237700	Distant eQTL	No	IV	38.5	Yes	8		38.5	8	NA	X	IV
WBGene00012239	A_12_P101008	I	13853980	0.25733818324206	I	13841893	13843258	13788926	13979708	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	I	I
WBGene00018607	A_12_P101012	II	4636342	0.117013237075604	X	7507885	7519669	4209585	4905764	Distant eQTL	No	II	14.5	No	5	NA	NA	NA	NA	X	II
WBGene00012747	A_12_P101022	IV	15399516	0.208345180188859	IV	15210120	15215626	15114347	15410121	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00000951	A_12_P101037	V	9905233	0.142833969685931	V	11412865	11415159	7667064	13332418	Distant eQTL	No	V	22.5	Yes	13	Yes	22.5, 23, 23.5	40	NA	V	V
WBGene00003748	A_12_P101041	X	5361887	0.231800443165066	III	3933577	3935915	4785093	5676445	Distant eQTL	No	X	16	Yes	35	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	III	X
WBGene00009773	A_12_P101050	V	11513193	0.336228837286301	V	9791567	9793241	11050301	11600826	Distant eQTL	No	V	23.5	Yes	20	Yes	22.5, 23, 23.5	40	NA	V	V
WBGene00000514	A_12_P101052	V	2064625	0.275334600732896	V	2106398	2109427	1973596	2272126	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00008953	A_12_P101069	X	9642366	0.114540136082891	X	10015037	10018025	8382557	10545442	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00001174	A_12_P101071	III	7349335	0.543632372488448	III	7814374	7817140	7137768	8304308	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00021079	A_12_P101084	X	5526747	0.163618090607687	V	3684662	3685830	4639456	5810100	Distant eQTL	No	X	16	Yes	35	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	V	X
WBGene00010435	A_12_P101100	X	3843271	0.10744260606321	IV	13232943	13236591	3789476	4505845	Distant eQTL	No	X	12	Yes	73		12	73	NA	IV	X
WBGene00013608	A_12_P101111	V	16859250	0.14389914383192	V	16852267	16854056	16620392	16999614	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00017759	A_12_P101112	X	5291269	0.104520894749493	III	900138	901444	4284268	5569019	Distant eQTL	No	X	15.5	Yes	34	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	III	X
WBGene00021274	A_12_P101116	X	6953360	0.18794332012834	I	2544749	2546188	6300921	7726527	Distant eQTL	No	X	19.5	Yes	13		19.5	13	NA	I	X
WBGene00013225	A_12_P101126	III	11847455	0.650918996979886	III	11849429	11862249	11843946	11859506	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	III	III
WBGene00012960	A_12_P101132	I	12098639	0.191753559964323	I	12091569	12094755	12048245	12147931	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	I	I
WBGene00008404	A_12_P101140	II	9651692	0.130640646201525	II	9329757	9331529	9115410	9845678	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00008565	A_12_P101149	I	12957859	0.580217707855615	I	12942280	12946588	12955937	12958276	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	I	I
WBGene00009291	A_12_P101174	X	4958735	0.122482162607505	V	20847684	20850706	4483054	6159202	Distant eQTL	No	X	15	Yes	45	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	V	X
WBGene00017746	A_12_P101179	II	9186	0.642752088601348	II	29581	31584	6368	343260	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00011482	A_12_P101202	IV	10776966	0.616400475885629	IV	11108087	11110017	10743150	11570976	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00007675	A_12_P101207	V	4385285	0.163079342814441	V	17535586	17538380	4165560	4497523	Distant eQTL	No	V	14.5	No	5	NA	NA	NA	NA	V	V
WBGene00016920	A_12_P101222	IV	2135122	0.144255509851397	IV	2146666	2149299	2060632	2185390	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	IV	IV
WBGene00009595	A_12_P101231	III	9692506	0.150270283740248	III	9914261	9915820	9143646	10418745	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	III	III
WBGene00000110	A_12_P101235	V	6236729	0.551474543905652	V	6427207	6429927	5790711	6526389	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00001149	A_12_P101246	II	4797215	0.144800498200089	X	12877480	12880329	4645641	5465868	Distant eQTL	No	II	15	No	1	NA	NA	NA	NA	X	II
WBGene00013448	A_12_P101250	III	11859506	0.109174940553155	III	11496829	11500717	11411166	12216028	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	III	III
WBGene00009290	A_12_P101275	V	20574869	0.136959245035878	V	20841481	20845556	20128871	20921615	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00007583	A_12_P101291	V	19398565	0.427192067569257	V	19332354	19362668	19398038	19399167	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00011708	A_12_P101305	X	5576572	0.107824725739789	IV	8855294	8856069	4630882	5922452	Distant eQTL	No	X	16.5	Yes	44	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	IV	X
WBGene00021521	A_12_P101321	IV	1575852	0.110735430991392	IV	1617462	1619178	1500428	1837056	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	IV	IV
WBGene00015574	A_12_P101325	V	3551664	0.141497282201269	V	3523581	3524691	3165894	3844800	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00000982	A_12_P101333	V	11637718	0.134807176435695	V	11489048	11490482	10332855	13155451	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00017329	A_12_P101339	IV	4761504	0.133490062713314	V	7157142	7159196	4208432	6109938	Distant eQTL	No	IV	28.5	Yes	35	Yes	27.5, 28, 28.5, 29	66	NA	V	IV
WBGene00015025	A_12_P101343	X	4179483	0.115007242798095	I	10732541	10733686	3713398	5341098	Distant eQTL	No	X	13	Yes	16	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	I	X
WBGene00020674	A_12_P101356	X	4721441	0.125065429948672	X	5651869	5654074	4536045	5576572	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
