trait	ld_betw	eQTL_1	eQTL_2	LD	chroms
E02H1.2.1	Local eQTL to Distant eQTL	II_10055669	I_1549172	0.0027906115776157	Between different chromosomes
F02H6.3a.2	Local eQTL to Distant eQTL	IV_14910524	I_10826462	6.69940870621932e-07	Between different chromosomes
F07B7.11.1	Local eQTL to Distant eQTL	V_8681460	II_209512	0.172054924398935	Between different chromosomes
F07B7.4.1	Local eQTL to Distant eQTL	V_8681460	II_209512	0.172054924398935	Between different chromosomes
F09G8.5.1	Local eQTL to Distant eQTL	III_7469275	I_1207814	0.144510241396689	Between different chromosomes
F10D2.8b.1	Local eQTL to Distant eQTL	V_7598251	II_2476363	0.0135826341781264	Between different chromosomes
F11C3.2.1	Local eQTL to Distant eQTL	I_13989722	I_1536513	0.223035846848703	On the same chromosome
F12E12.11.1	Local eQTL to Distant eQTL	II_3739833	II_384496	0.548468073102826	On the same chromosome
F14B8.5a.1	Local eQTL to Distant eQTL	X_7054469	II_14139853	0.334382656987986	Between different chromosomes
F14B8.5a.1	Local eQTL to Distant eQTL	X_7054469	V_10844287	0.506838501772619	Between different chromosomes
F14B8.5a.2	Local eQTL to Distant eQTL	X_7054469	IV_10065783	0.332153066245238	Between different chromosomes
F14B8.5a.2	Local eQTL to Distant eQTL	X_7054469	V_3849196	0.204247327946959	Between different chromosomes
F14H3.15.1	Local eQTL to Distant eQTL	V_15957387	I_11250635	0.317387470593907	Between different chromosomes
F14H3.3.2	Local eQTL to Distant eQTL	V_15829772	II_4023780	0.299351835180296	Between different chromosomes
F15E11.1.1	Local eQTL to Distant eQTL	V_2314916	II_14014821	0.00214544319442399	Between different chromosomes
F15E11.13.1	Local eQTL to Distant eQTL	V_2314916	II_14014821	0.00214544319442399	Between different chromosomes
F15E11.14.1	Local eQTL to Distant eQTL	V_2314916	II_14014821	0.00214544319442399	Between different chromosomes
F19B2.12	Local eQTL to Distant eQTL	V_20065063	I_345372	0.0883496979742012	Between different chromosomes
F19B2.12	Local eQTL to Distant eQTL	V_20065063	IV_3769717	0.0776426431879019	Between different chromosomes
F19B2.5.2	Local eQTL to Distant eQTL	V_20204149	IV_11215804	0.0327680063318266	Between different chromosomes
F20B6.9.2	Local eQTL to Distant eQTL	X_4294769	I_13227663	0.158053517865372	Between different chromosomes
F20C5.1f.1	Local eQTL to Distant eQTL	IV_8752110	III_3353294	0.243965204442373	Between different chromosomes
F20C5.1i.1	Local eQTL to Distant eQTL	IV_8752110	I_345372	0.147387933226783	Between different chromosomes
F20C5.1i.1	Local eQTL to Distant eQTL	IV_8752110	I_10826462	0.0868534667409303	Between different chromosomes
F20D1.22.1	Local eQTL to Distant eQTL	X_14948555	V_19517561	0.0179288543769251	Between different chromosomes
F20D1.6.1	Local eQTL to Distant eQTL	X_14948555	IV_3760575	0.10404557278597	Between different chromosomes
F20D6.1.1	Local eQTL to Distant eQTL	V_8997784	II_1100853	0.318486216427337	Between different chromosomes
F23B12.6.1	Local eQTL to Distant eQTL	V_14447671	II_9780	0.302549033183672	Between different chromosomes
F23D12.3.1	Local eQTL to Distant eQTL	X_14442725	IV_3769717	0.133383934471839	Between different chromosomes
F25C8.3e.1	Local eQTL to Distant eQTL	V_20130859	V_14649731	0.160405326711339	On the same chromosome
F26G5.1a.1	Local eQTL to Distant eQTL	V_5295653	IV_16429360	0.114376303094223	Between different chromosomes
F28G4.1.1	Local eQTL to Distant eQTL	V_16175482	I_13463537	0.150356276260263	Between different chromosomes
F28G4.1.1	Local eQTL to Distant eQTL	V_16175482	IV_16549015	0.0763961697882225	Between different chromosomes
F29B9.9a.1	Local eQTL to Distant eQTL	IV_4430374	II_946924	0.199571501750264	Between different chromosomes
F29G9.3.1	Local eQTL to Distant eQTL	V_6018874	II_3629604	0.278814328059639	Between different chromosomes
F31D4.5b.2	Local eQTL to Distant eQTL	V_20074947	III_10909658	0.0420586589859407	Between different chromosomes
F32D1.3a.1	Local eQTL to Distant eQTL	V_4104726	I_1200305	0.393868355365435	Between different chromosomes
F35F10.12.2	Local eQTL to Distant eQTL	V_2907302	I_12576527	0.125335706887377	Between different chromosomes
F36D3.1.1	Local eQTL to Distant eQTL	V_16488651	III_10901011	0.158537658375306	Between different chromosomes
F36D3.1.1	Local eQTL to Distant eQTL	V_16488651	IV_6232856	0.0793888593675893	Between different chromosomes
F36G3.1.1	Local eQTL to Distant eQTL	X_9622110	V_13571248	0.460220833287447	Between different chromosomes
F38C2.5.1	Local eQTL to Distant eQTL	IV_16428931	I_11480040	0.115153311470602	Between different chromosomes
F38E11.8	Local eQTL to Distant eQTL	IV_8500701	II_5751901	0.130733688213814	Between different chromosomes
F40B5.1	Local eQTL to Distant eQTL	X_8249407	V_4697627	0.265277483938686	Between different chromosomes
F40F12.1	Local eQTL to Distant eQTL	III_9894899	III_3239039	0.409050152808897	On the same chromosome
F40G12.11.1	Local eQTL to Distant eQTL	V_13722936	III_2646834	0.2590611571635	Between different chromosomes
F43D2.1.1	Local eQTL to Distant eQTL	V_14699598	I_11189405	0.431837770420293	Between different chromosomes
F44E5.4.1	Local eQTL to Distant eQTL	II_11069358	I_2018645	0.265277483938686	Between different chromosomes
F45B8.1.1	Local eQTL to Distant eQTL	X_15031876	V_20410593	0.0137101185073612	Between different chromosomes
F47C12.12	Local eQTL to Distant eQTL	IV_4000246	II_3569186	0.313514511295341	Between different chromosomes
F47C12.8.1	Local eQTL to Distant eQTL	IV_4003546	I_3173070	0.17651998428662	Between different chromosomes
F47E1.4.1	Local eQTL to Distant eQTL	X_9217864	V_10285793	0.199356929682582	Between different chromosomes
F48F5.5.2	Local eQTL to Distant eQTL	V_20541088	IV_13242561	0.211776624447792	Between different chromosomes
F48F5.5.2	Local eQTL to Distant eQTL	V_20541088	V_13728639	0.310037512241266	On the same chromosome
F48F7.1a.2	Local eQTL to Distant eQTL	X_14415205	X_4534834	0.254028544407429	On the same chromosome
F48G7.12a.1	Local eQTL to Distant eQTL	V_1279498	I_2820424	0.243661873385862	Between different chromosomes
F48G7.12a.1	Local eQTL to Distant eQTL	V_1279498	III_12398088	0.179459444138876	Between different chromosomes
F52C6.8.1	Local eQTL to Distant eQTL	II_2207835	I_7045340	0.00337662116467189	Between different chromosomes
F52F10.4a.1	Local eQTL to Distant eQTL	V_1619890	II_13053228	0.121658893824263	Between different chromosomes
F53F4.2.1	Local eQTL to Distant eQTL	V_13842657	II_14870791	0.219393019095791	Between different chromosomes
F53F4.8	Local eQTL to Distant eQTL	V_13879788	I_13463537	0.431475492440002	Between different chromosomes
F53F4.8	Local eQTL to Distant eQTL	V_13879788	II_355941	0.271671996028601	Between different chromosomes
F54D11.3	Local eQTL to Distant eQTL	V_4589001	IV_15717957	0.117974633270558	Between different chromosomes
F54H12.4.1	Local eQTL to Distant eQTL	III_8657261	II_2238305	0.0491035890494394	Between different chromosomes
F55G11.1.1	Local eQTL to Distant eQTL	IV_12867385	II_1100853	0.155124010812078	Between different chromosomes
F56A4.11	Local eQTL to Distant eQTL	V_2569206	I_675688	0.101376632302673	Between different chromosomes
F56A4.11	Local eQTL to Distant eQTL	V_2569206	II_13781845	0.0728225205822101	Between different chromosomes
F56A4.11	Local eQTL to Distant eQTL	V_2569206	III_7137848	0.0182923247492174	Between different chromosomes
F56A4.11	Local eQTL to Distant eQTL	V_2569206	IV_14888154	0.122667604735734	Between different chromosomes
F56D5.9.1	Local eQTL to Distant eQTL	IV_9709679	II_1203610	0.0436828957871072	Between different chromosomes
F57C2.2.1	Local eQTL to Distant eQTL	II_13934817	II_546631	0.460220833287447	On the same chromosome
F57F5.3.1	Local eQTL to Distant eQTL	V_12294693	II_13273993	0.340475294608285	Between different chromosomes
F57F5.3.1	Local eQTL to Distant eQTL	V_12294693	IV_16027005	0.0851741775790851	Between different chromosomes
F58D12.3.1	Local eQTL to Distant eQTL	V_13849401	II_11706610	0.00887315163677141	Between different chromosomes
F58E1.12.1	Local eQTL to Distant eQTL	II_1534403	I_4432027	0.0232700509037669	Between different chromosomes
F58G11.2c.1	Local eQTL to Distant eQTL	V_13683336	I_13171417	0.34193856292614	Between different chromosomes
F58G11.2c.1	Local eQTL to Distant eQTL	V_13683336	IV_13190783	0.227485543003638	Between different chromosomes
F59A1.10.1	Local eQTL to Distant eQTL	V_17662794	I_3173070	0.00706323500539863	Between different chromosomes
F59C12.4.1	Local eQTL to Distant eQTL	X_16190800	X_10594814	0.416979879687461	On the same chromosome
H12D21.12.1	Local eQTL to Distant eQTL	V_14962692	IV_3416714	0.219960971648948	Between different chromosomes
H37A05.4a.1	Local eQTL to Distant eQTL	V_13722936	II_2531056	0.229845090901147	Between different chromosomes
H37A05.4a.1	Local eQTL to Distant eQTL	V_13722936	III_2644030	0.118595801569976	Between different chromosomes
H37A05.4a.1	Local eQTL to Distant eQTL	V_13722936	III_12080737	0.182128202801359	Between different chromosomes
K01G5.9.1	Local eQTL to Distant eQTL	III_10675443	II_2975161	0.117552774401392	Between different chromosomes
K02E2.4.1	Local eQTL to Distant eQTL	V_20065063	IV_3769717	0.0776426431879019	Between different chromosomes
K02E2.4.1	Local eQTL to Distant eQTL	V_20065063	V_14447671	0.26226019395417	On the same chromosome
K02F3.12a.1	Local eQTL to Distant eQTL	III_853187	I_565394	0.0777196576278254	Between different chromosomes
K03A11.2.1	Local eQTL to Distant eQTL	X_13124139	X_5198642	0.0224924242980116	On the same chromosome
K03D7.7.1	Local eQTL to Distant eQTL	V_16968524	II_3978307	0.187870104581215	Between different chromosomes
K06A9.1g.1	Local eQTL to Distant eQTL	X_1516337	V_13842657	0.115512391518514	Between different chromosomes
K06B9.4	Local eQTL to Distant eQTL	IV_4197890	III_7579990	0.000978142227696165	Between different chromosomes
K06C4.10.1	Local eQTL to Distant eQTL	V_8681460	IV_1470009	0.379419810926572	Between different chromosomes
K06C4.12.1	Local eQTL to Distant eQTL	V_8681460	II_209512	0.172054924398935	Between different chromosomes
K06C4.4.1	Local eQTL to Distant eQTL	V_8681460	II_209512	0.172054924398935	Between different chromosomes
K06C4.5.1	Local eQTL to Distant eQTL	V_8947708	IV_13529712	0.361398383640097	Between different chromosomes
K07B1.6b.2	Local eQTL to Distant eQTL	V_9900175	II_1733193	0.28277687448632	Between different chromosomes
K08H10.5	Local eQTL to Distant eQTL	V_10559210	II_795578	0.172054924398933	Between different chromosomes
K09D9.13.1	Local eQTL to Distant eQTL	V_4115447	I_12581234	0.0467592324502421	Between different chromosomes
K09H11.7.1	Local eQTL to Distant eQTL	V_5711092	I_1886781	0.19967912509849	Between different chromosomes
K10D11.5.1	Local eQTL to Distant eQTL	IV_12985657	I_14759881	0.156724146486246	Between different chromosomes
M01B2.10.1	Local eQTL to Distant eQTL	V_15125648	II_3978307	0.469702283686674	Between different chromosomes
M01G12.7.1	Local eQTL to Distant eQTL	I_12153609	I_345372	0.0760402102281428	On the same chromosome
M02E1.3.1	Local eQTL to Distant eQTL	X_1109056	III_5614402	0.00673633672147324	Between different chromosomes
M02E1.3.1	Local eQTL to Distant eQTL	X_1109056	IV_2433269	0.0545006384047908	Between different chromosomes
R06B9.3.1	Local eQTL to Distant eQTL	II_13839152	II_2701077	0.10436811859771	On the same chromosome
R07B7.2b.1	Local eQTL to Distant eQTL	V_12023320	II_2476363	0.0993076071153525	Between different chromosomes
R07B7.2c.1	Local eQTL to Distant eQTL	V_12023320	II_2476363	0.0993076071153525	Between different chromosomes
R07C12.1.1	Local eQTL to Distant eQTL	IV_4259608	I_1703084	0.0120403478193873	Between different chromosomes
R07C3.12	Local eQTL to Distant eQTL	II_913447	I_10827365	0.0148006966548034	Between different chromosomes
R09A8.9.1	Local eQTL to Distant eQTL	X_12668419	X_4122175	0.0190887783625378	On the same chromosome
R09E10.9	Local eQTL to Distant eQTL	IV_9402749	II_946924	0.0957669103682244	Between different chromosomes
R12C12.8b	Local eQTL to Distant eQTL	II_6059658	I_3173070	0.347308929905959	Between different chromosomes
R13.5	Local eQTL to Distant eQTL	IV_10271693	III_3353294	0.111596720483338	Between different chromosomes
R155.1a.2	Local eQTL to Distant eQTL	III_2170640	II_12001295	0.455318234387418	Between different chromosomes
T01H10.4	Local eQTL to Distant eQTL	X_12117803	IV_751512	0.136699159249765	Between different chromosomes
T01H10.4	Local eQTL to Distant eQTL	X_12117803	IV_8272382	0.136699159249765	Between different chromosomes
T03D8.1b.1	Local eQTL to Distant eQTL	V_20541088	IV_13252725	0.10464100406936	Between different chromosomes
T04B2.1	Local eQTL to Distant eQTL	IV_9116894	I_345372	0.179102150256888	Between different chromosomes
T04B2.1	Local eQTL to Distant eQTL	IV_9116894	III_3353294	0.22684832268486	Between different chromosomes
T06D8.1i.1	Local eQTL to Distant eQTL	II_11279813	I_6205512	0.166600289713821	Between different chromosomes
T07A5.7.1	Local eQTL to Distant eQTL	III_10355688	I_14168632	0.0960729330514988	Between different chromosomes
T07G12.10.2	Local eQTL to Distant eQTL	IV_10752480	I_1218959	0.289705977350139	Between different chromosomes
T07G12.10.2	Local eQTL to Distant eQTL	IV_10752480	I_12428713	0.159913891180511	Between different chromosomes
T07G12.8	Local eQTL to Distant eQTL	IV_10940663	I_345372	0.136369000320362	Between different chromosomes
T07G12.8	Local eQTL to Distant eQTL	IV_10940663	III_3353294	0.141319300477507	Between different chromosomes
T08D2.5.2	Local eQTL to Distant eQTL	X_307756	I_3173070	0.0049294656091487	Between different chromosomes
T08D2.5.2	Local eQTL to Distant eQTL	X_307756	II_630902	0.0123276080325539	Between different chromosomes
T08E11.8	Local eQTL to Distant eQTL	II_1177776	I_13717097	0.0469741377238355	Between different chromosomes
T09E8.1g.1	Local eQTL to Distant eQTL	V_12316209	II_2557816	0.150533746665425	Between different chromosomes
T10B10.8.1	Local eQTL to Distant eQTL	X_14744371	IV_16400078	0.387021016262074	Between different chromosomes
T10B10.8.1	Local eQTL to Distant eQTL	X_14744371	V_3635414	0.351031458918994	Between different chromosomes
T10B5.7b.1	Local eQTL to Distant eQTL	V_2066008	I_7759192	0.101980948502898	Between different chromosomes
T10C6.12.1	Local eQTL to Distant eQTL	V_16054286	IV_5924751	0.201433016858268	Between different chromosomes
T10C6.7.2	Local eQTL to Distant eQTL	V_15936115	II_13119784	0.155101529515076	Between different chromosomes
T10C6.7.2	Local eQTL to Distant eQTL	V_15936115	IV_13319966	0.210238228722145	Between different chromosomes
T10C6.7.2	Local eQTL to Distant eQTL	V_15936115	V_461651	0.106053716702836	On the same chromosome
T13A10.12.1	Local eQTL to Distant eQTL	IV_6055844	III_1447618	0.330875291252744	Between different chromosomes
T13F3.5.1	Local eQTL to Distant eQTL	V_16309397	IV_1347664	0.0569282666492764	Between different chromosomes
T20B3.8	Local eQTL to Distant eQTL	V_16820604	III_3140634	0.0386976192322632	Between different chromosomes
T20G5.10.1	Local eQTL to Distant eQTL	III_9880014	III_2860369	0.49366784107924	On the same chromosome
T24D5.11	Local eQTL to Distant eQTL	X_12668419	V_4530905	2.42137633752042e-05	Between different chromosomes
T24D5.6.1	Local eQTL to Distant eQTL	X_12477340	V_4530905	0.0620210311165386	Between different chromosomes
T26F2.3.1	Local eQTL to Distant eQTL	V_14649731	II_715409	0.270232104176841	Between different chromosomes
T26H5.10.1	Local eQTL to Distant eQTL	V_15438552	III_816415	0.238775263857626	Between different chromosomes
T26H5.14.1	Local eQTL to Distant eQTL	V_15322866	I_13463537	0.286839471294242	Between different chromosomes
T27D1.3.1	Local eQTL to Distant eQTL	III_4632949	II_630931	0.327875880828593	Between different chromosomes
T27E7.10	Local eQTL to Distant eQTL	IV_14547270	I_14109069	0.00378083112673429	Between different chromosomes
T28D6.6a.2	Local eQTL to Distant eQTL	III_11275167	III_1434811	0.287666451046727	On the same chromosome
T28F12.1.2	Local eQTL to Distant eQTL	V_4325032	II_7638119	0.48047983968207	Between different chromosomes
W01C8.5b.1	Local eQTL to Distant eQTL	X_6302545	I_13463537	0.343695497246459	Between different chromosomes
W01C8.5b.1	Local eQTL to Distant eQTL	X_6302545	V_13762996	0.460220833287447	Between different chromosomes
W04H10.6a.1	Local eQTL to Distant eQTL	II_619041	I_1543438	0.151168918585423	Between different chromosomes
W05B2.5.2	Local eQTL to Distant eQTL	III_11873598	I_2820424	0.161482604013107	Between different chromosomes
W05B2.5.2	Local eQTL to Distant eQTL	III_11873598	II_1204125	0.0642548211539178	Between different chromosomes
W06H8.4	Local eQTL to Distant eQTL	V_6563822	II_946924	0.0620210311163758	Between different chromosomes
W09D6.1b.1	Local eQTL to Distant eQTL	III_11054656	III_5870611	0.332120847872326	On the same chromosome
W09H1.1a.1	Local eQTL to Distant eQTL	II_13519520	I_12581234	0.0204159398973781	Between different chromosomes
Y102A5B.2a.1	Local eQTL to Distant eQTL	V_16889978	III_11442733	0.0927550601542631	Between different chromosomes
Y102A5C.1.2	Local eQTL to Distant eQTL	V_16972595	I_2417713	0.0244895471527505	Between different chromosomes
Y102A5C.1.2	Local eQTL to Distant eQTL	V_16972595	IV_16631240	0.142210664570388	Between different chromosomes
Y111B2A.4a.1	Local eQTL to Distant eQTL	III_12619451	I_14707876	0.0957669103681178	Between different chromosomes
Y111B2A.4a.1	Local eQTL to Distant eQTL	III_12619451	II_2476363	0.343695497246459	Between different chromosomes
Y116F11B.13.1	Local eQTL to Distant eQTL	V_20875880	V_14773604	0.441659063837733	On the same chromosome
Y116F11B.17.1	Local eQTL to Distant eQTL	V_19671203	IV_9026757	0.0421910989256016	Between different chromosomes
Y119D3B.7.1	Local eQTL to Distant eQTL	III_1322691	I_12581234	0.141308813235556	Between different chromosomes
Y11D7A.10a.1	Local eQTL to Distant eQTL	IV_8272382	IV_1060447	0.444149566749026	On the same chromosome
Y13C8A.1.1	Local eQTL to Distant eQTL	X_16315253	IV_4649779	0.00543667778474001	Between different chromosomes
Y17D7B.1b.1	Local eQTL to Distant eQTL	V_18847432	II_430729	0.293376835335574	Between different chromosomes
Y17D7C.3	Local eQTL to Distant eQTL	V_18685235	II_587549	0.533458791652896	Between different chromosomes
Y17G9A.4.2	Local eQTL to Distant eQTL	IV_4982709	I_2903989	0.0602811679769429	Between different chromosomes
Y19D10A.10	Local eQTL to Distant eQTL	V_2569206	I_13312810	0.131306157154434	Between different chromosomes
Y19D10A.10	Local eQTL to Distant eQTL	V_2569206	II_13781845	0.0728225205822101	Between different chromosomes
Y19D10A.10	Local eQTL to Distant eQTL	V_2569206	III_11891019	0.0153843323594	Between different chromosomes
Y19D10B.7.1	Local eQTL to Distant eQTL	V_2314916	II_14014821	0.00214544319442399	Between different chromosomes
Y20C6A.4.1	Local eQTL to Distant eQTL	V_17003829	I_12431362	0.00725172710817086	Between different chromosomes
Y24F12A.3	Local eQTL to Distant eQTL	IV_12038229	III_3098941	0.00390936994122275	Between different chromosomes
Y37A1B.5a.1	Local eQTL to Distant eQTL	IV_14988151	II_3569186	0.076418109057122	Between different chromosomes
Y37H2A.5b.1	Local eQTL to Distant eQTL	V_18117183	IV_1576746	0.148505564084361	Between different chromosomes
Y37H2A.5b.1	Local eQTL to Distant eQTL	V_18117183	V_6989071	0.00677646799216482	On the same chromosome
Y38F2AL.5.1	Local eQTL to Distant eQTL	IV_2639825	I_13348750	0.0379579213656935	Between different chromosomes
Y38F2AL.5.1	Local eQTL to Distant eQTL	IV_2639825	III_3353294	0.117974633270764	Between different chromosomes
Y38H6C.9a.1	Local eQTL to Distant eQTL	V_20065063	IV_3769717	0.0776426431879019	Between different chromosomes
Y41D4A.6d.1	Local eQTL to Distant eQTL	IV_1697406	II_5529904	0.0585207261387168	Between different chromosomes
Y41D4B.15.1	Local eQTL to Distant eQTL	IV_1572380	I_850499	0.0606158426313999	Between different chromosomes
Y41D4B.15.1	Local eQTL to Distant eQTL	IV_1572380	I_13681735	0.109584008260328	Between different chromosomes
Y41D4B.18	Local eQTL to Distant eQTL	IV_1552566	I_707201	0.24366187338586	Between different chromosomes
Y46C8AL.9.1	Local eQTL to Distant eQTL	IV_3711107	II_1653240	0.0828406357411716	Between different chromosomes
Y46G5A.34.2	Local eQTL to Distant eQTL	II_12659729	II_5979009	0.0957669103682244	On the same chromosome
Y46G5A.6	Local eQTL to Distant eQTL	II_12801660	II_2891293	0.0162408162323787	On the same chromosome
Y46H3C.6	Local eQTL to Distant eQTL	V_1014343	II_3615891	0.0810834057688252	Between different chromosomes
Y47D7A.14a.1	Local eQTL to Distant eQTL	V_4371412	I_922115	0.289181658139348	Between different chromosomes
Y48E1C.2.2	Local eQTL to Distant eQTL	II_13557834	II_5907776	0.496302372538594	On the same chromosome
Y51H1A.3a.1	Local eQTL to Distant eQTL	II_13965856	I_2707175	0.309558810051344	Between different chromosomes
Y51H1A.3a.2	Local eQTL to Distant eQTL	II_13965856	I_2707175	0.309558810051344	Between different chromosomes
Y51H1A.3b.1	Local eQTL to Distant eQTL	II_14485466	I_13171417	0.416979879687461	Between different chromosomes
Y51H1A.3b.1	Local eQTL to Distant eQTL	II_14485466	II_546631	0.343695497246459	On the same chromosome
Y53F4B.20.1	Local eQTL to Distant eQTL	II_14906775	II_2476363	0.106924625727168	On the same chromosome
Y54G11A.6.1	Local eQTL to Distant eQTL	II_14625147	I_14542418	0.513695305609654	Between different chromosomes
Y54G11A.6.2	Local eQTL to Distant eQTL	II_14625147	I_14542418	0.513695305609654	Between different chromosomes
Y54G11A.6.2	Local eQTL to Distant eQTL	II_14625147	II_6095043	0.419099464943616	On the same chromosome
Y54G11B.1.2	Local eQTL to Distant eQTL	II_15111383	II_2858869	0.300676803137729	On the same chromosome
