transcript	eQTL_Chr	eQTL_peak	finemapping_gene	finemapping_variant	BLOSUM	VARIANT_IMPACT	class	hotspot_cM	hotspot_Chr	Merged_hotspots_cM
C02A12.1.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C02A12.1.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C02B10.4.2	III	7916567	mml-1	7371604	-2	HIGH	TF	27	V	26, 26.5, 27
C02B10.4.2	III	7916567	mml-1	7371604	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
C04G2.5.1	IV	8337815	nhr-267	9285699	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
C05C9.1.1	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
C05C9.1.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C05D12.5.1	IV	10931703	plp-1	7634038	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
C05D12.5.1	IV	10931703	nhr-258	8046258	-1	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
C05D12.5.1	IV	10931703	zim-1	10547775	-2	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
C05D9.9a.1	IV	16047511	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
C06C3.7.1	IV	4396037	set-21	4391968	-1	HIGH	Chromatin cofactor	27.5	IV	27.5, 28
C06C3.7.1	IV	4396037	set-21	4391968	-1	HIGH	Chromatin cofactor	27.5	III	26, 26.5, 27, 27.5
C06C6.6	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C06C6.6	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C06E4.8.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C06G3.8a.1	V	14699598	set-5	14699485	-4	HIGH	Chromatin cofactor	27	V	26, 26.5, 27
C06G3.8a.1	V	14699598	set-5	14699485	-4	HIGH	Chromatin cofactor	27	III	26, 26.5, 27, 27.5
C06H2.5a.1	III	2644030	ceh-44	2539980	-1	HIGH	TF	16.5	III	16.5
C07A9.3a.1	IV	15469577	nhr-5	15406553	-2	HIGH	TF	41.5	IV	41.5, 42, 42.5
C07A9.7a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C07A9.7a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C07A9.7b.1	III	8663705	R05D3.3	8365279	-1	HIGH	TF	27.5	IV	27.5, 28
C07A9.7b.1	III	8663705	R05D3.3	8365279	-1	HIGH	TF	27.5	III	26, 26.5, 27, 27.5
C07D8.6.2	V	10407905	zip-9	10942871	-2	HIGH	TF	23	V	23, 23.5
C07D8.6.2	V	10407905	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
C07H6.7.1	V	13728639	nhr-247	15323857	-1	HIGH	TF	26	III	26, 26.5, 27, 27.5
C07H6.7.1	V	13728639	nhr-247	15323857	-1	HIGH	TF	26	V	26, 26.5, 27
C07H6.7.1	V	13728639	nhr-84	15878383	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
C07H6.7.1	V	13728639	nhr-84	15878383	-2	HIGH	TF	26	V	26, 26.5, 27
C08B6.6.1	X	4562158	lfi-1	4976984	-2	HIGH	TF	14	X	14
C08E3.12.1	I	13171417	nhr-276	14043432	-3	HIGH	TF	39.5	IV	39.5
C08E3.12.1	I	13171417	nhr-276	14043432	-3	HIGH	TF	39.5	I	39.5
C08E3.12.1	III	11807405	ceh-92	11584935	-1	HIGH	TF	41	III	41
C08E8.4.1	IV	6611540	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
C08E8.4.1	IV	6611540	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
C08F8.15.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
C08F8.15.1	IV	7858491	nhr-264	9293192	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
C08G5.3b	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
C08G5.4b.1	V	7317606	nhr-148	7343333	-2	HIGH	TF	21	V	21
C08G5.4b.1	V	7317606	nhr-148	7343333	-2	HIGH	TF	21	I	21
C09B8.3.1	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
C09B8.3.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C09E7.11.1	IV	7951703	plp-1	7634038	-3	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
C09E8.3.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C09E9.1d.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
C09E9.1d.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
C09G9.1c.1	V	13718280	zip-5	13269711	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
C09G9.1c.1	V	13718280	zip-5	13269711	-2	HIGH	TF	26	V	26, 26.5, 27
C10E2.5.1	X	12469798	odr-7	12460597	-1	HIGH	TF	28.5	X	28.5
C10E2.5.1	X	12469798	odr-7	12460627	-1	HIGH	TF	28.5	X	28.5
C10E2.5.1	X	12469798	nhr-214	12701618	-1	HIGH	TF	28.5	X	28.5
C10E2.5.1	X	12469798	gei-3	12811833	-3	HIGH	TF	28.5	X	28.5
C10E2.5.2	X	12537311	odr-7	12460597	-1	HIGH	TF	28.5	X	28.5
C10E2.5.2	X	12537311	odr-7	12460627	-1	HIGH	TF	28.5	X	28.5
C10E2.5.2	X	12537311	nhr-214	12701618	-1	HIGH	TF	28.5	X	28.5
C10E2.5.2	X	12537311	gei-3	12811833	-3	HIGH	TF	28.5	X	28.5
C12C8.1.1	III	3353294	wdr-5.1	3705516	-1	HIGH	Chromatin cofactor	20.5	III	20.5
C12C8.1.1	III	3353294	wdr-5.1	3705516	-1	HIGH	Chromatin cofactor	20.5	X	20.5
C12D5.7.2	III	3437947	wdr-5.1	3705516	-1	HIGH	Chromatin cofactor	20.5	III	20.5
C12D5.7.2	III	3437947	wdr-5.1	3705516	-1	HIGH	Chromatin cofactor	20.5	X	20.5
C14A11.6b.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
C14C11.8b.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C14C11.8b.1	V	14654518	set-5	14699485	-4	HIGH	Chromatin cofactor	27	V	26, 26.5, 27
C14C11.8b.1	V	14654518	set-5	14699485	-4	HIGH	Chromatin cofactor	27	III	26, 26.5, 27, 27.5
C14C11.8b.1	V	14654518	nhr-247	15323857	-1	HIGH	TF	27	V	26, 26.5, 27
C14C11.8b.1	V	14654518	nhr-247	15323857	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
C14C11.8b.1	V	14654518	nhr-84	15878383	-2	HIGH	TF	27	V	26, 26.5, 27
C14C11.8b.1	V	14654518	nhr-84	15878383	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
C14C11.8b.1	V	14654518	nhr-213	15896217	-1	HIGH	TF	27	V	26, 26.5, 27
C14C11.8b.1	V	14654518	nhr-213	15896217	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
C15H7.3.2	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
C16A3.9.1	III	7469275	lin-36	8018436	-1	HIGH	TF	27	V	26, 26.5, 27
C16A3.9.1	III	7469275	lin-36	8018436	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
C16C8.2.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C16C8.22.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C16C8.22.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C17C3.15.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C17C3.15.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C17C3.1a.1	V	18998037	nhr-231	18793224	-2	HIGH	TF	39	V	39
C17D12.6a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C17D12.6a.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C18G1.5.1	IV	16027005	nhr-5	15406553	-2	HIGH	TF	42	IV	41.5, 42, 42.5
C18H2.2	IV	4259608	set-21	4391968	-1	HIGH	Chromatin cofactor	27.5	IV	27.5, 28
C18H2.2	IV	4259608	set-21	4391968	-1	HIGH	Chromatin cofactor	27.5	III	26, 26.5, 27, 27.5
C24H11.2.1	V	20001672	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
C25D7.4a.1	V	11673838	zip-9	10942871	-2	HIGH	TF	23.5	V	23, 23.5
C25F6.7a.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C25H3.14.1	II	8795806	aptf-4	8591771	-2	HIGH	TF	19	II	19, 19.5
C25H3.14.1	II	8795806	aptf-4	8591771	-2	HIGH	TF	19	X	18.5, 19, 19.5
C26B2.7a.1	III	5429464	mml-1	7372812	-3	HIGH	TF	26	III	26, 26.5, 27, 27.5
C26B2.7a.1	III	5429464	mml-1	7372812	-3	HIGH	TF	26	V	26, 26.5, 27
C26B2.7a.1	III	5429464	hmg-4	7380231	-2	HIGH	TF	26	III	26, 26.5, 27, 27.5
C26B2.7a.1	III	5429464	hmg-4	7380231	-2	HIGH	TF	26	V	26, 26.5, 27
C26B2.7a.1	III	5429464	R05D3.3	8365279	-1	HIGH	TF	26	III	26, 26.5, 27, 27.5
C26B2.7a.1	III	5429464	R05D3.3	8365279	-1	HIGH	TF	26	V	26, 26.5, 27
C26B9.2.1	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
C26E6.7a.1	III	7362463	set-2	4929670	-2	HIGH	Chromatin cofactor	27	V	26, 26.5, 27
C26E6.7a.1	III	7362463	set-2	4929670	-2	HIGH	Chromatin cofactor	27	III	26, 26.5, 27, 27.5
C26E6.7a.1	III	7362463	mml-1	7372812	-3	HIGH	TF	27	V	26, 26.5, 27
C26E6.7a.1	III	7362463	mml-1	7372812	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
C26E6.7a.1	III	7362463	hmg-4	7380231	-2	HIGH	TF	27	V	26, 26.5, 27
C26E6.7a.1	III	7362463	hmg-4	7380231	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
C26E6.7a.1	III	7362463	R05D3.3	8365279	-1	HIGH	TF	27	V	26, 26.5, 27
C26E6.7a.1	III	7362463	R05D3.3	8365279	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
C26E6.7c.1	III	6865201	mml-1	7372812	-3	HIGH	TF	26.5	V	26, 26.5, 27
C26E6.7c.1	III	6865201	mml-1	7372812	-3	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
C26E6.7c.1	III	6865201	hmg-4	7380231	-2	HIGH	TF	26.5	V	26, 26.5, 27
C26E6.7c.1	III	6865201	hmg-4	7380231	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
C26E6.7c.1	III	6865201	R05D3.3	8365279	-1	HIGH	TF	26.5	V	26, 26.5, 27
C26E6.7c.1	III	6865201	R05D3.3	8365279	-1	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
C26E6.7d.1	III	6938050	set-2	4929670	-2	HIGH	Chromatin cofactor	26.5	V	26, 26.5, 27
C26E6.7d.1	III	6938050	set-2	4929670	-2	HIGH	Chromatin cofactor	26.5	III	26, 26.5, 27, 27.5
C26E6.7d.1	III	6938050	mml-1	7372812	-3	HIGH	TF	26.5	V	26, 26.5, 27
C26E6.7d.1	III	6938050	mml-1	7372812	-3	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
C27A7.6c.1	X	6697014	sprp-4	8850619	-2	HIGH	TF	18.5	X	18.5, 19, 19.5
C28H8.4.2	II	8279434	nfi-1	7541320	-4	HIGH	TF	19	II	19, 19.5
C28H8.4.2	II	8279434	nfi-1	7541320	-4	HIGH	TF	19	X	18.5, 19, 19.5
C28H8.4.2	II	8279434	aptf-4	8592250	-1	HIGH	TF	19	II	19, 19.5
C28H8.4.2	II	8279434	aptf-4	8592250	-1	HIGH	TF	19	X	18.5, 19, 19.5
C28H8.4.2	II	8279434	E02H1.5	9595509	-2	HIGH	TF	19	II	19, 19.5
C28H8.4.2	II	8279434	E02H1.5	9595509	-2	HIGH	TF	19	X	18.5, 19, 19.5
C28H8.4.2	II	8279434	mab-3	9735025	-1	HIGH	TF	19	II	19, 19.5
C28H8.4.2	II	8279434	mab-3	9735025	-1	HIGH	TF	19	X	18.5, 19, 19.5
C29E4.1.1	IV	4430374	jmjd-1.2	4661115	-3	HIGH	Chromatin cofactor	28	IV	27.5, 28
C29F3.1.1	V	20093486	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
C29F5.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C29F5.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C33D9.6a.1	V	20014990	ttx-1	20064158	-2	HIGH	TF	44.5	V	44.5, 45, 45.5
C33F10.13.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
C33F10.13.1	IV	7858491	nhr-264	9293192	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
C33F10.13.1	IV	7858491	zim-2	10557342	-3	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
C33F10.13.1	IV	7858491	zim-3	10559496	-2	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
C33F10.13.1	IV	7858491	zim-3	10559793	-1	HIGH	TF	31	IV	30.5, 31, 31.5, 32, 32.5
C36A4.11.1	I	4696683	lim-7	5725342	-1	HIGH	TF	21	V	21
C36A4.11.1	I	4696683	lim-7	5725342	-1	HIGH	TF	21	I	21
C38C10.4.2	III	7867229	R05D3.3	8366304	-3	HIGH	TF	27	V	26, 26.5, 27
C38C10.4.2	III	7867229	R05D3.3	8366304	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
C38C3.8	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C38C3.8	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C38C6.3.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C39B5.2.2	III	7315694	mml-1	7372812	-3	HIGH	TF	27	V	26, 26.5, 27
C39B5.2.2	III	7315694	mml-1	7372812	-3	HIGH	TF	27	III	26, 26.5, 27, 27.5
C39B5.2.2	III	7315694	hmg-4	7380231	-2	HIGH	TF	27	V	26, 26.5, 27
C39B5.2.2	III	7315694	hmg-4	7380231	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
C39B5.2.2	III	7315694	R05D3.3	8365279	-1	HIGH	TF	27	V	26, 26.5, 27
C39B5.2.2	III	7315694	R05D3.3	8365279	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
C41C4.1.1	III	6453825	nfx-1	6375500	-2	HIGH	TF	26.5	V	26, 26.5, 27
C41C4.1.1	III	6453825	nfx-1	6375500	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
C41G11.3a.2	IV	11635759	hil-2	6294361	-2	HIGH	Chromatin cofactor	32.5	IV	30.5, 31, 31.5, 32, 32.5
C44B7.10.2	X	14446308	ztf-14	14496428	-2	HIGH	TF	38	X	38
C44H4.2.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C45G9.6a.2	V	16448517	nhr-176	16071671	-1	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
C45G9.6a.2	V	16448517	nhr-176	16071671	-1	HIGH	TF	30.5	V	30.5
C45G9.6a.2	V	16448517	nhr-176	16071686	-2	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
C45G9.6a.2	V	16448517	nhr-176	16071686	-2	HIGH	TF	30.5	V	30.5
C45G9.6a.2	V	16448517	nhr-176	16072674	-3	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
C45G9.6a.2	V	16448517	nhr-176	16072674	-3	HIGH	TF	30.5	V	30.5
C45G9.6a.2	X	14460051	ztf-14	14496428	-2	HIGH	TF	38	X	38
C46C11.4.1	IV	12635109	zim-3	10559496	-2	HIGH	TF	33.5	IV	33.5
C46C11.4.1	IV	12635109	zim-3	10559496	-2	HIGH	TF	33.5	V	33.5
C46C11.4.1	IV	12635109	zim-3	10559793	-1	HIGH	TF	33.5	IV	33.5
C46C11.4.1	IV	12635109	zim-3	10559793	-1	HIGH	TF	33.5	V	33.5
C46H11.8.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
C46H11.8.1	V	13722936	set-5	14699485	-4	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
C47A4.3.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C47A4.3.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C47D12.3b.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C47D12.3b.2	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C49G7.7.2	IV	6539887	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
C49G7.7.2	IV	6539887	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
C50D2.1a.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C50F7.1b.2	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
C53B4.8.1	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
C54G6.8.1	V	20060851	ttx-1	20064158	-2	HIGH	TF	45	V	44.5, 45, 45.5
C54G7.3a.1	III	11891019	ceh-92	11584935	-1	HIGH	TF	41	III	41
C54G7.3a.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
C55A6.1.2	X	6526258	sprp-4	8850619	-2	HIGH	TF	18.5	X	18.5, 19, 19.5
C55C3.8.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
C55C3.8.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
C56A3.9	V	14773604	nhr-247	15323857	-1	HIGH	TF	27	V	26, 26.5, 27
C56A3.9	V	14773604	nhr-247	15323857	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
C56A3.9	V	14773604	nhr-247	15323880	-4	HIGH	TF	27	V	26, 26.5, 27
C56A3.9	V	14773604	nhr-247	15323880	-4	HIGH	TF	27	III	26, 26.5, 27, 27.5
C56A3.9	V	14773604	nhr-247	15323880	-1	HIGH	TF	27	V	26, 26.5, 27
C56A3.9	V	14773604	nhr-247	15323880	-1	HIGH	TF	27	III	26, 26.5, 27, 27.5
C56G2.4.1	IV	4430374	jmjd-1.2	4661115	-3	HIGH	Chromatin cofactor	28	IV	27.5, 28
D1014.3b.1	V	10844287	nhr-143	8974472	-1	HIGH	TF	23	V	23, 23.5
D1014.3b.1	V	10844287	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
D1081.11.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
D1081.11.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
D2007.2a.1	III	6453825	nfx-1	6375500	-2	HIGH	TF	26.5	V	26, 26.5, 27
D2007.2a.1	III	6453825	nfx-1	6375500	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
D2007.2a.1	III	6453825	mml-1	7371604	-2	HIGH	TF	26.5	V	26, 26.5, 27
D2007.2a.1	III	6453825	mml-1	7371604	-2	HIGH	TF	26.5	III	26, 26.5, 27, 27.5
D2045.2.1	IV	10940663	zim-2	10557342	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
D2085.5c.1	V	13709420	set-5	14699485	-4	HIGH	Chromatin cofactor	26	III	26, 26.5, 27, 27.5
D2085.5c.1	V	13709420	set-5	14699485	-4	HIGH	Chromatin cofactor	26	V	26, 26.5, 27
D2085.5c.1	V	13709420	nhr-213	15896217	-1	HIGH	TF	26	III	26, 26.5, 27, 27.5
D2085.5c.1	V	13709420	nhr-213	15896217	-1	HIGH	TF	26	V	26, 26.5, 27
E01G6.1.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
E02C12.8c.2	III	2644030	ceh-44	2539980	-1	HIGH	TF	16.5	III	16.5
E04D5.1a.2	II	8843293	nfi-1	7541320	-4	HIGH	TF	19	II	19, 19.5
E04D5.1a.2	II	8843293	nfi-1	7541320	-4	HIGH	TF	19	X	18.5, 19, 19.5
E04D5.1a.2	II	8843293	aptf-4	8592250	-1	HIGH	TF	19	II	19, 19.5
E04D5.1a.2	II	8843293	aptf-4	8592250	-1	HIGH	TF	19	X	18.5, 19, 19.5
E04D5.1a.2	II	8843293	E02H1.5	9595509	-2	HIGH	TF	19	II	19, 19.5
E04D5.1a.2	II	8843293	E02H1.5	9595509	-2	HIGH	TF	19	X	18.5, 19, 19.5
E04D5.1a.2	II	8843293	mab-3	9735025	-1	HIGH	TF	19	II	19, 19.5
E04D5.1a.2	II	8843293	mab-3	9735025	-1	HIGH	TF	19	X	18.5, 19, 19.5
F01F1.7.1	III	8079796	nfx-1	6375500	-2	HIGH	TF	27	V	26, 26.5, 27
F01F1.7.1	III	8079796	nfx-1	6375500	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
F01F1.7.1	III	8079796	mml-1	7371604	-2	HIGH	TF	27	V	26, 26.5, 27
F01F1.7.1	III	8079796	mml-1	7371604	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
F07B7.11.1	II	209512	T10D4.6	3122581	-2	HIGH	TF	2.5	II	2.5
F07B7.2.1	V	16535765	nhr-176	16071671	-1	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
F07B7.2.1	V	16535765	nhr-176	16071671	-1	HIGH	TF	30.5	V	30.5
F07B7.2.1	V	16535765	nhr-176	16071686	-2	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
F07B7.2.1	V	16535765	nhr-176	16071686	-2	HIGH	TF	30.5	V	30.5
F07B7.2.1	V	16535765	nhr-176	16072674	-3	HIGH	TF	30.5	IV	30.5, 31, 31.5, 32, 32.5
F07B7.2.1	V	16535765	nhr-176	16072674	-3	HIGH	TF	30.5	V	30.5
F07B7.4.1	II	209512	T10D4.6	3122581	-2	HIGH	TF	2.5	II	2.5
F09B12.1a.1	IV	4430374	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
F11C1.6a.1	IV	11215804	zim-2	10557342	-3	HIGH	TF	32.5	IV	30.5, 31, 31.5, 32, 32.5
F11C3.2.1	V	14654518	nhr-84	15878383	-2	HIGH	TF	27	V	26, 26.5, 27
F11C3.2.1	V	14654518	nhr-84	15878383	-2	HIGH	TF	27	III	26, 26.5, 27, 27.5
F12A10.2	V	10343103	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
F12A10.2	V	10343103	zip-5	13269711	-2	HIGH	TF	23	V	23, 23.5
F13H10.9.1	X	12628772	nhr-214	12701618	-1	HIGH	TF	28.5	X	28.5
F13H10.9.1	X	12628772	gei-3	12811833	-3	HIGH	TF	28.5	X	28.5
F14F11.1a.2	X	12469798	odr-7	12460597	-1	HIGH	TF	28.5	X	28.5
F14F11.1a.2	X	12469798	odr-7	12460627	-1	HIGH	TF	28.5	X	28.5
F14F11.1a.2	X	12469798	nhr-214	12701618	-1	HIGH	TF	28.5	X	28.5
F14F11.1a.2	X	12469798	gei-3	12811833	-3	HIGH	TF	28.5	X	28.5
F15A2.6a.2	X	9170409	sprp-4	8850619	-2	HIGH	TF	22	X	21.5, 22
F15A4.13.1	IV	7858491	hil-2	6294361	-2	HIGH	Chromatin cofactor	31	IV	30.5, 31, 31.5, 32, 32.5
F15D3.9.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
F15D3.9.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
F18A1.3b.1	II	8843293	nfi-1	7541320	-4	HIGH	TF	19	II	19, 19.5
F18A1.3b.1	II	8843293	nfi-1	7541320	-4	HIGH	TF	19	X	18.5, 19, 19.5
F18A1.3b.1	II	8843293	aptf-4	8592250	-1	HIGH	TF	19	II	19, 19.5
F18A1.3b.1	II	8843293	aptf-4	8592250	-1	HIGH	TF	19	X	18.5, 19, 19.5
F18A1.3b.1	II	8843293	E02H1.5	9595509	-2	HIGH	TF	19	II	19, 19.5
F18A1.3b.1	II	8843293	E02H1.5	9595509	-2	HIGH	TF	19	X	18.5, 19, 19.5
