trait	transcript	log10p	transcript_Chr	transcript_start
q90TOF_reg_AH9.1.1	AH9.1.1	35.2864603738468	X	2243602
q90TOF_reg_AH9.2.1	AH9.2.1	35.2910447006783	X	2255848
q90TOF_reg_AH9.3.1	AH9.3.1	36.6904840184166	X	2259155
q90TOF_reg_AH9.3.2	AH9.3.2	35.2956545082103	X	2259153
q90TOF_reg_AH9.6.1	AH9.6.1	35.9713015672208	X	2263167
q90TOF_reg_B0001.1a.1	B0001.1a.1	35.3066343366689	IV	12129504
q90TOF_reg_B0001.1a.2	B0001.1a.2	35.4135529838617	IV	12129504
q90TOF_reg_B0001.2.1	B0001.2.1	35.6970264392328	IV	12146481
q90TOF_reg_B0001.3a.2	B0001.3a.2	35.2337082621059	IV	12143431
q90TOF_reg_B0001.3b.2	B0001.3b.2	35.2791763627709	IV	12143431
q90TOF_reg_B0001.3c.1	B0001.3c.1	35.0296476485788	IV	12143431
q90TOF_reg_B0001.4a.1	B0001.4a.1	35.2261903458357	IV	12135077
q90TOF_reg_B0001.4a.2	B0001.4a.2	34.9089209016124	IV	12135077
q90TOF_reg_B0001.4c.1	B0001.4c.1	34.3578019893627	IV	12135077
q90TOF_reg_B0001.5.1	B0001.5.1	35.259999225482	IV	12141161
q90TOF_reg_B0001.5.2	B0001.5.2	34.8046306536867	IV	12141162
q90TOF_reg_B0001.6.1	B0001.6.1	35.5184216045157	IV	12156838
q90TOF_reg_B0001.6.2	B0001.6.2	35.0846421593557	IV	12159464
q90TOF_reg_B0001.7a.1	B0001.7a.1	35.2442720763652	IV	12151170
q90TOF_reg_B0001.7a.2	B0001.7a.2	35.2270323669367	IV	12151173
q90TOF_reg_B0001.7b.2	B0001.7b.2	36.3028586444719	IV	12151183
q90TOF_reg_B0001.8a.1	B0001.8a.1	35.4372656737623	IV	12138844
q90TOF_reg_B0001.8a.2	B0001.8a.2	35.8416893127432	IV	12138845
q90TOF_reg_B0001.8b.1	B0001.8b.1	33.2967873336423	IV	12138849
q90TOF_reg_B0001.8d.2	B0001.8d.2	32.4843179542302	IV	12138882
q90TOF_reg_B0019.1.1	B0019.1.1	23.7413929168038	I	12759545
q90TOF_reg_B0019.2.1	B0019.2.1	35.1531636513925	I	12773659
q90TOF_reg_B0019.2.2	B0019.2.2	34.2748451986274	I	12773652
q90TOF_reg_B0024.10.1	B0024.10.1	35.2433321207187	V	10315245
q90TOF_reg_B0024.10.2	B0024.10.2	35.3897394920259	V	10315248
q90TOF_reg_B0024.11.2	B0024.11.2	35.5452554576421	V	10317490
q90TOF_reg_B0024.1.1	B0024.1.1	35.8032635049226	V	10291225
q90TOF_reg_B0024.12.1	B0024.12.1	34.8967691243682	V	10319654
q90TOF_reg_B0024.1.2	B0024.1.2	35.7063138240686	V	10291766
q90TOF_reg_B0024.13.1	B0024.13.1	35.2438594892445	V	10320711
q90TOF_reg_B0024.14a.1	B0024.14a.1	34.6572137444775	V	10322288
q90TOF_reg_B0024.14b.1	B0024.14b.1	36.1648465327348	V	10322287
q90TOF_reg_B0024.15.1	B0024.15.1	35.8055950209097	V	10290043
q90TOF_reg_B0024.2.1	B0024.2.1	35.8466639072507	V	10293563
q90TOF_reg_B0024.3.1	B0024.3.1	34.9212272827051	V	10287560
q90TOF_reg_B0024.4.1	B0024.4.1	35.5247107808447	V	10297399
q90TOF_reg_B0024.8a.1	B0024.8a.1	35.3555561213272	V	10299473
q90TOF_reg_B0024.9a.1	B0024.9a.1	34.7747247193251	V	10314671
q90TOF_reg_B0024.9a.2	B0024.9a.2	35.7607286891788	V	10314671
q90TOF_reg_B0025.1a.1	B0025.1a.1	35.6781700026076	I	6028486
q90TOF_reg_B0025.1a.2	B0025.1a.2	35.4769984950013	I	6028486
q90TOF_reg_B0025.1b.1	B0025.1b.1	33.5298354879775	I	6028484
q90TOF_reg_B0025.1c.1	B0025.1c.1	36.0189673046379	I	6028498
q90TOF_reg_B0025.2.1	B0025.2.1	34.5563423270096	I	6022660
q90TOF_reg_B0025.4.1	B0025.4.1	35.2505711531421	I	6027194
q90TOF_reg_B0025.5.1	B0025.5.1	36.2935779931259	I	6024144
q90TOF_reg_B0034.1.1	B0034.1.1	35.6969815950202	II	5970097
q90TOF_reg_B0034.3a.1	B0034.3a.1	34.6541728763463	II	5944851
q90TOF_reg_B0034.3a.2	B0034.3a.2	33.5435137667988	II	5944851
q90TOF_reg_B0034.3b.1	B0034.3b.1	34.8408998678078	II	5945405
q90TOF_reg_B0034.3c.1	B0034.3c.1	34.7307312924336	II	5945855
q90TOF_reg_B0034.4.1	B0034.4.1	35.8181929403342	II	5968060
q90TOF_reg_B0034.5.1	B0034.5.1	35.6191822170687	II	5972856
q90TOF_reg_B0034.7.1	B0034.7.1	35.5161317935772	II	5961617
q90TOF_reg_B0035.10.1	B0035.10.1	34.8785278399835	IV	11326588
q90TOF_reg_B0035.11.1	B0035.11.1	34.9993655630525	IV	11327576
q90TOF_reg_B0035.12.1	B0035.12.1	35.1181257691773	IV	11327628
q90TOF_reg_B0035.12.2	B0035.12.2	35.1421835187286	IV	11327628
q90TOF_reg_B0035.13.1	B0035.13.1	35.5336912897746	IV	11304793
q90TOF_reg_B0035.13.2	B0035.13.2	35.9103496495613	IV	11304721
q90TOF_reg_B0035.14a.1	B0035.14a.1	35.8056426282002	IV	11299036
q90TOF_reg_B0035.14a.2	B0035.14a.2	35.3906172983558	IV	11299008
q90TOF_reg_B0035.15.1	B0035.15.1	35.3829368505839	IV	11296952
q90TOF_reg_B0035.15.2	B0035.15.2	34.4818295947182	IV	11296949
q90TOF_reg_B0035.16.2	B0035.16.2	34.3068449200297	IV	11295063
q90TOF_reg_B0035.18.1	B0035.18.1	35.1168903770396	IV	11320312
q90TOF_reg_B0035.1a.1	B0035.1a.1	32.987908076509	IV	11310972
q90TOF_reg_B0035.1b.1	B0035.1b.1	35.4583337257866	IV	11310972
q90TOF_reg_B0035.1b.2	B0035.1b.2	35.6164348361434	IV	11310966
q90TOF_reg_B0035.21.1	B0035.21.1	35.5638432145538	IV	11327264
q90TOF_reg_B0035.2.1	B0035.2.1	33.7852579131896	IV	11312434
q90TOF_reg_B0035.3.1	B0035.3.1	35.1237483544744	IV	11314078
q90TOF_reg_B0035.3.2	B0035.3.2	34.7609886805301	IV	11314058
q90TOF_reg_B0035.4.1	B0035.4.1	34.0282960690642	IV	11315207
q90TOF_reg_B0035.4.2	B0035.4.2	33.5170719201437	IV	11315142
q90TOF_reg_B0035.5.2	B0035.5.2	34.1160757149137	IV	11317417
q90TOF_reg_B0035.6.1	B0035.6.1	35.9713679646845	IV	11320800
q90TOF_reg_B0035.6.2	B0035.6.2	34.0682945678158	IV	11320760
q90TOF_reg_B0035.7.1	B0035.7.1	32.7398884797767	IV	11324056
q90TOF_reg_B0035.8.1	B0035.8.1	35.0867100702424	IV	11324745
q90TOF_reg_B0035.9.1	B0035.9.1	34.884820216473	IV	11326018
q90TOF_reg_B0041.11.1	B0041.11.1	35.2919382080662	I	4660828
q90TOF_reg_B0041.11.2	B0041.11.2	34.8627420334687	I	4660905
q90TOF_reg_B0041.1.2	B0041.1.2	36.3373477281657	I	4664532
q90TOF_reg_B0041.2b.1	B0041.2b.1	35.3070503610475	I	4653470
q90TOF_reg_B0041.2c.1	B0041.2c.1	34.2728449047852	I	4653896
q90TOF_reg_B0041.2d.1	B0041.2d.1	35.1440553165512	I	4653527
q90TOF_reg_B0041.2e.1	B0041.2e.1	34.9255133544186	I	4653473
q90TOF_reg_B0041.2e.2	B0041.2e.2	35.3424726227358	I	4653467
q90TOF_reg_B0041.2f.1	B0041.2f.1	35.4836450623892	I	4653527
q90TOF_reg_B0041.2g.2	B0041.2g.2	34.5072533637247	I	4655347
q90TOF_reg_B0041.3.1	B0041.3.1	36.0307775290669	I	4644642
q90TOF_reg_B0041.4.2	B0041.4.2	35.7936704153606	I	4645641
q90TOF_reg_B0041.5a.1	B0041.5a.1	33.5017421828928	I	4648268
q90TOF_reg_B0041.5c.1	B0041.5c.1	35.3699099919595	I	4648269
q90TOF_reg_B0041.6a.1	B0041.6a.1	35.0322830357189	I	4652145
q90TOF_reg_B0041.6b.1	B0041.6b.1	34.0081512192386	I	4652186
q90TOF_reg_B0041.7.1	B0041.7.1	35.2715752529089	I	4665933
q90TOF_reg_B0041.7.2	B0041.7.2	35.5082600779449	I	4665717
q90TOF_reg_B0041.8.1	B0041.8.1	34.4041730211767	I	4647280
q90TOF_reg_B0041.8.2	B0041.8.2	35.6069052722235	I	4647424
q90TOF_reg_B0047.1.1	B0047.1.1	22.1465218988249	II	2040276
q90TOF_reg_B0047.2	B0047.2	35.251086533064	II	2043089
q90TOF_reg_B0047.3.1	B0047.3.1	32.4028992627633	II	2044619
q90TOF_reg_B0047.4.1	B0047.4.1	35.8675150016336	II	2046053
q90TOF_reg_B0047.5	B0047.5	33.2711483689039	II	2048061
q90TOF_reg_B0198.1.1	B0198.1.1	35.5674471863532	X	12031592
q90TOF_reg_B0198.2a.1	B0198.2a.1	35.2594916423459	X	12028711
q90TOF_reg_B0198.2b.1	B0198.2b.1	35.1721710645983	X	12028711
q90TOF_reg_B0198.3a.1	B0198.3a.1	35.5245394651216	X	12042586
q90TOF_reg_B0205.10.1	B0205.10.1	36.1079137786992	I	10708363
q90TOF_reg_B0205.10.2	B0205.10.2	35.437614999225	I	10708800
q90TOF_reg_B0205.11.1	B0205.11.1	35.7069592339764	I	10732543
q90TOF_reg_B0205.11.2	B0205.11.2	34.6969165141181	I	10732541
q90TOF_reg_B0205.12.1	B0205.12.1	35.212039868623	I	10730463
q90TOF_reg_B0205.13.1	B0205.13.1	35.3185363638218	I	10727755
q90TOF_reg_B0205.14.1	B0205.14.1	34.5258731227984	I	10726138
q90TOF_reg_B0205.1a.1	B0205.1a.1	35.1088938855927	I	10713464
q90TOF_reg_B0205.1a.2	B0205.1a.2	34.3536580495743	I	10713464
q90TOF_reg_B0205.1b.1	B0205.1b.1	35.5858130832973	I	10713777
q90TOF_reg_B0205.3.2	B0205.3.2	35.0793709753502	I	10730713
q90TOF_reg_B0205.6.2	B0205.6.2	32.175022783705	I	10736695
q90TOF_reg_B0205.7.1	B0205.7.1	34.0276149021805	I	10734022
q90TOF_reg_B0205.8.1	B0205.8.1	34.6509345282577	I	10728895
q90TOF_reg_B0205.8.2	B0205.8.2	34.6625474029018	I	10728895
q90TOF_reg_B0205.9.1	B0205.9.1	35.4795577948041	I	10720809
q90TOF_reg_B0205.9.2	B0205.9.2	34.2561787091945	I	10720809
q90TOF_reg_B0207.10.1	B0207.10.1	35.4700436312584	I	5959008
q90TOF_reg_B0207.11.1	B0207.11.1	36.4215996996229	I	5962953
q90TOF_reg_B0207.1.1	B0207.1.1	36.2052864066052	I	5964401
q90TOF_reg_B0207.12a.1	B0207.12a.1	35.159834163591	I	5967233
q90TOF_reg_B0207.12a.2	B0207.12a.2	35.2939350959004	I	5967233
q90TOF_reg_B0207.12b.1	B0207.12b.1	35.0861522510989	I	5967245
q90TOF_reg_B0207.12b.2	B0207.12b.2	36.032744821982	I	5967245
q90TOF_reg_B0207.12c.2	B0207.12c.2	36.2682998536251	I	5967246
q90TOF_reg_B0207.2.1	B0207.2.1	36.0757462121916	I	5955031
q90TOF_reg_B0207.3.1	B0207.3.1	35.2022485478774	I	5942390
q90TOF_reg_B0207.4.1	B0207.4.1	35.7381524227044	I	5937195
q90TOF_reg_B0207.4.2	B0207.4.2	35.6429329359954	I	5937471
q90TOF_reg_B0207.5a.1	B0207.5a.1	34.2683826459974	I	5919055
q90TOF_reg_B0207.5b.1	B0207.5b.1	35.2758596516851	I	5919055
q90TOF_reg_B0207.6.2	B0207.6.2	35.4826009608663	I	5935368
q90TOF_reg_B0207.7.1	B0207.7.1	36.069600241265	I	5945563
q90TOF_reg_B0207.9.2	B0207.9.2	36.607765941908	I	5957441
q90TOF_reg_B0212.1b.1	B0212.1b.1	34.8598341910016	IV	3568979
q90TOF_reg_B0212.1c.2	B0212.1c.2	35.4590203659266	IV	3570717
q90TOF_reg_B0212.3.1	B0212.3.1	35.4495721789133	IV	3538390
q90TOF_reg_B0212.3.2	B0212.3.2	34.6990484339709	IV	3540136
q90TOF_reg_B0212.4a.1	B0212.4a.1	36.2643334083641	IV	3543628
q90TOF_reg_B0212.4c.1	B0212.4c.1	35.4400214636735	IV	3543658
q90TOF_reg_B0212.4d.1	B0212.4d.1	34.0240117027355	IV	3543658
q90TOF_reg_B0212.5.1	B0212.5.1	34.3900317338823	IV	3551090
q90TOF_reg_B0213.10.1	B0213.10.1	37.4949857795873	V	3955766
q90TOF_reg_B0213.11a.1	B0213.11a.1	37.3080615195286	V	3958160
q90TOF_reg_B0213.11c.1	B0213.11c.1	37.6409118130011	V	3958239
q90TOF_reg_B0213.12.1	B0213.12.1	32.8062993471369	V	3961682
q90TOF_reg_B0213.14.1	B0213.14.1	35.5294396300089	V	3964797
q90TOF_reg_B0213.14.2	B0213.14.2	33.3076536482716	V	3964762
q90TOF_reg_B0213.15a.1	B0213.15a.1	34.8077125828248	V	3968134
q90TOF_reg_B0213.15b.1	B0213.15b.1	34.5507718288445	V	3968209
q90TOF_reg_B0213.16.1	B0213.16.1	34.864465815061	V	3970772
q90TOF_reg_B0213.17.2	B0213.17.2	35.1326288647103	V	3978825
q90TOF_reg_B0213.2.2	B0213.2.2	35.7799445498847	V	3987910
q90TOF_reg_B0213.3.1	B0213.3.1	33.5580200076098	V	3987900
q90TOF_reg_B0213.4.1	B0213.4.1	35.2463701964118	V	3982357
q90TOF_reg_B0213.4.2	B0213.4.2	34.8576254282379	V	3982357
q90TOF_reg_B0213.5.1	B0213.5.1	34.7844537940866	V	3981980
q90TOF_reg_B0213.6.1	B0213.6.1	34.9113496689843	V	3980055
q90TOF_reg_B0218.1.1	B0218.1.1	36.1856951162695	IV	8159387
q90TOF_reg_B0218.2.1	B0218.2.1	35.4375593458215	IV	8152445
q90TOF_reg_B0218.2.2	B0218.2.2	35.5702365387126	IV	8152445
q90TOF_reg_B0218.3.1	B0218.3.1	35.4972337657181	IV	8148787
q90TOF_reg_B0218.5.1	B0218.5.1	35.5586997627506	IV	8155193
q90TOF_reg_B0218.6a.1	B0218.6a.1	36.2469499982329	IV	8161953
q90TOF_reg_B0218.6b.1	B0218.6b.1	35.3237673709887	IV	8162023
q90TOF_reg_B0218.7.1	B0218.7.1	36.3403273520955	IV	8164590
q90TOF_reg_B0218.8.1	B0218.8.1	35.107679665109	IV	8167164
q90TOF_reg_B0218.8.2	B0218.8.2	35.0246925472276	IV	8167163
q90TOF_reg_B0222.11.1	B0222.11.1	35.710820599207	V	9159678
q90TOF_reg_B0222.1.1	B0222.1.1	35.524924089259	V	9134255
q90TOF_reg_B0222.3.1	B0222.3.1	35.3975296775324	V	9138946
q90TOF_reg_B0222.3.2	B0222.3.2	34.8602663529308	V	9138946
q90TOF_reg_B0222.4.1	B0222.4.1	36.02480824313	V	9144617
q90TOF_reg_B0222.5.1	B0222.5.1	36.5329312320057	V	9152321
q90TOF_reg_B0222.6.1	B0222.6.1	35.0260225788437	V	9159586
q90TOF_reg_B0222.6.2	B0222.6.2	35.0902894854337	V	9159586
q90TOF_reg_B0222.7.1	B0222.7.1	35.2413677248413	V	9161992
q90TOF_reg_B0222.8.2	B0222.8.2	34.0594027467417	V	9159691
q90TOF_reg_B0222.9.1	B0222.9.1	35.6790049024821	V	9168393
q90TOF_reg_B0228.1.1	B0228.1.1	35.2460795275446	II	7755343
q90TOF_reg_B0228.1.2	B0228.1.2	35.5672569065631	II	7755343
q90TOF_reg_B0228.4a.1	B0228.4a.1	36.1213175326151	II	7724903
q90TOF_reg_B0228.4c.1	B0228.4c.1	35.830151731914	II	7724903
q90TOF_reg_B0228.4d.1	B0228.4d.1	35.6080293161656	II	7724903
q90TOF_reg_B0228.4e.1	B0228.4e.1	35.760701892909	II	7742397
q90TOF_reg_B0228.6.1	B0228.6.1	35.478867007857	II	7753987
q90TOF_reg_B0228.7.1	B0228.7.1	35.3125697962304	II	7757182
q90TOF_reg_B0228.7.2	B0228.7.2	35.9646306944587	II	7757182
q90TOF_reg_B0238.10.1	B0238.10.1	33.934993951481	V	5274076
q90TOF_reg_B0238.11.2	B0238.11.2	33.366913459391	V	5269478
q90TOF_reg_B0238.1.1	B0238.1.1	35.4297691385303	V	5240759
q90TOF_reg_B0238.12.1	B0238.12.1	34.7860414718722	V	5265984
q90TOF_reg_B0238.13b	B0238.13b	34.3271147537133	V	5243815
q90TOF_reg_B0238.15.1	B0238.15.1	35.123972055396	V	5240203
q90TOF_reg_B0238.9.1	B0238.9.1	35.469008335965	V	5275554
q90TOF_reg_B0238.9.2	B0238.9.2	35.4291247591823	V	5275549
q90TOF_reg_B0240.1.1	B0240.1.1	34.9790846663002	V	11727867
q90TOF_reg_B0240.1.2	B0240.1.2	35.6621945843543	V	11727867
q90TOF_reg_B0240.2.1	B0240.2.1	36.1397537104135	V	11733544
q90TOF_reg_B0240.4.2	B0240.4.2	36.1377557041499	V	11731113
q90TOF_reg_B0244.10a.1	B0244.10a.1	35.4268816885512	III	5733224
q90TOF_reg_B0244.10a.2	B0244.10a.2	35.5821278791442	III	5735165
q90TOF_reg_B0244.10b.1	B0244.10b.1	35.8039464967454	III	5735158
q90TOF_reg_B0244.16.1	B0244.16.1	35.5190717185643	III	5740966
q90TOF_reg_B0244.17.1	B0244.17.1	36.0055219064377	III	5733214
q90TOF_reg_B0244.2.1	B0244.2.1	35.3053592696627	III	5755496
q90TOF_reg_B0244.2.2	B0244.2.2	35.9355075131451	III	5755539
q90TOF_reg_B0244.4b.1	B0244.4b.1	34.8978796665396	III	5747485
q90TOF_reg_B0244.5.1	B0244.5.1	36.6751119977015	III	5744879
q90TOF_reg_B0244.6.1	B0244.6.1	35.7739082724793	III	5738008
q90TOF_reg_B0244.7.1	B0244.7.1	36.1260082546807	III	5731501
q90TOF_reg_B0244.8.1	B0244.8.1	34.5592062333622	III	5728180
q90TOF_reg_B0244.8.2	B0244.8.2	35.7607148979032	III	5728174
q90TOF_reg_B0244.9.1	B0244.9.1	36.1515950278183	III	5730118
q90TOF_reg_B0250.1.1	B0250.1.1	35.221347997833	V	20479689
q90TOF_reg_B0250.12	B0250.12	35.3487177201588	V	20466438
q90TOF_reg_B0250.2.1	B0250.2.1	35.6164946923187	V	20476747
q90TOF_reg_B0250.3	B0250.3	34.6745208839247	V	20468349
q90TOF_reg_B0250.4	B0250.4	32.5615728605309	V	20458654
q90TOF_reg_B0250.5.2	B0250.5.2	34.5334632126942	V	20493918
q90TOF_reg_B0250.8.1	B0250.8.1	34.4232584500341	V	20469894
q90TOF_reg_B0250.9.1	B0250.9.1	35.6799821350969	V	20480803
q90TOF_reg_B0252.11.1	B0252.11.1	36.1169364073469	II	6916993
q90TOF_reg_B0252.1.1	B0252.1.1	36.7054713841338	II	6919680
q90TOF_reg_B0252.2.1	B0252.2.1	35.3225003094591	II	6910072
q90TOF_reg_B0252.2.2	B0252.2.2	35.5037520074269	II	6910031
q90TOF_reg_B0252.3a.1	B0252.3a.1	34.9378667361287	II	6902849
q90TOF_reg_B0252.3a.2	B0252.3a.2	36.041987544933	II	6902850
q90TOF_reg_B0252.3c.2	B0252.3c.2	35.3579812353172	II	6903014
q90TOF_reg_B0252.4a.1	B0252.4a.1	35.402513988076	II	6912765
q90TOF_reg_B0252.4b.2	B0252.4b.2	35.1557605073319	II	6912540
q90TOF_reg_B0252.5.1	B0252.5.1	36.4198022505107	II	6917867
q90TOF_reg_B0252.8.1	B0252.8.1	35.445862287931	II	6916110
q90TOF_reg_B0252.8.2	B0252.8.2	35.5227775943392	II	6916165
q90TOF_reg_B0261.1.2	B0261.1.2	34.2135007574983	I	5263692
q90TOF_reg_B0261.2a.1	B0261.2a.1	35.2886696749341	I	5245743
q90TOF_reg_B0261.2a.2	B0261.2a.2	36.3429392143257	I	5245740
q90TOF_reg_B0261.2b.1	B0261.2b.1	35.5843825218578	I	5245781
q90TOF_reg_B0261.4a.1	B0261.4a.1	33.8969982994657	I	5244283
q90TOF_reg_B0261.4b.1	B0261.4b.1	34.7624907101421	I	5244447
q90TOF_reg_B0261.5.1	B0261.5.1	36.3416264437005	I	5249724
q90TOF_reg_B0261.6a.1	B0261.6a.1	36.2845465486126	I	5255447
q90TOF_reg_B0261.7.1	B0261.7.1	34.8513399797597	I	5269545
q90TOF_reg_B0261.7.2	B0261.7.2	35.3816808430701	I	5269390
q90TOF_reg_B0261.8.1	B0261.8.1	34.8948511328188	I	5271265
q90TOF_reg_B0272.1.1	B0272.1.1	35.0060671720701	X	9434449
q90TOF_reg_B0272.2.1	B0272.2.1	35.7260796976845	X	9440079
q90TOF_reg_B0272.3.2	B0272.3.2	36.252429687825	X	9431425
q90TOF_reg_B0272.4.1	B0272.4.1	35.6744937936638	X	9428431
q90TOF_reg_B0273.1a.1	B0273.1a.1	36.2673989481022	IV	5493992
q90TOF_reg_B0273.2.1	B0273.2.1	35.6884680534026	IV	5486685
q90TOF_reg_B0273.3.1	B0273.3.1	35.4394472491112	IV	5484041
q90TOF_reg_B0273.4b.1	B0273.4b.1	35.5167539236968	IV	5497950
q90TOF_reg_B0273.4c.1	B0273.4c.1	35.5723329763201	IV	5495666
q90TOF_reg_B0273.4c.2	B0273.4c.2	35.3921475259931	IV	5495665
q90TOF_reg_B0273.4d.1	B0273.4d.1	35.4520646885124	IV	5495671
q90TOF_reg_B0273.4e.1	B0273.4e.1	35.3351339183555	IV	5495929
q90TOF_reg_B0280.10a.1	B0280.10a.1	34.7809557330362	III	7131880
q90TOF_reg_B0280.10c.1	B0280.10c.1	36.2114796254196	III	7131880
q90TOF_reg_B0280.11.1	B0280.11.1	36.476124495827	III	7136510
q90TOF_reg_B0280.12a.1	B0280.12a.1	35.1221646433169	III	7138683
q90TOF_reg_B0280.12b.1	B0280.12b.1	34.9788372659399	III	7138646
q90TOF_reg_B0280.13.1	B0280.13.1	35.5110868868552	III	7128901
q90TOF_reg_B0280.13.2	B0280.13.2	35.3464286251244	III	7128895
q90TOF_reg_B0280.17.1	B0280.17.1	36.2510361031196	III	7135024
q90TOF_reg_B0280.1a.1	B0280.1a.1	34.1531694113336	III	7133766
q90TOF_reg_B0280.1b.1	B0280.1b.1	35.5324036186712	III	7133815
q90TOF_reg_B0280.2.1	B0280.2.1	35.6106864338784	III	7124664
q90TOF_reg_B0280.3.1	B0280.3.1	34.2227748772513	III	7123165
q90TOF_reg_B0280.3.2	B0280.3.2	34.8695795290026	III	7123124
q90TOF_reg_B0280.4.1	B0280.4.1	35.7219129655917	III	7108314
q90TOF_reg_B0280.5.2	B0280.5.2	35.3593563330572	III	7102086
q90TOF_reg_B0280.7.1	B0280.7.1	35.1630740254886	III	7110302
q90TOF_reg_B0280.8.1	B0280.8.1	35.4644058315344	III	7112296
q90TOF_reg_B0280.9.1	B0280.9.1	33.9944024231767	III	7120905
q90TOF_reg_B0280.9.2	B0280.9.2	34.7232574359352	III	7120905
q90TOF_reg_B0284.1.1	B0284.1.1	35.4254447021959	III	4375154
q90TOF_reg_B0284.3.2	B0284.3.2	35.253159319626	III	4379325
q90TOF_reg_B0285.11	B0285.11	36.1822610177945	III	4350825
q90TOF_reg_B0285.1a.1	B0285.1a.1	36.7337262538144	III	4333019
q90TOF_reg_B0285.1b.1	B0285.1b.1	36.4932153470175	III	4333396
q90TOF_reg_B0285.1c.1	B0285.1c.1	35.2661342999142	III	4333388
q90TOF_reg_B0285.3.1	B0285.3.1	35.6012385686184	III	4341977
q90TOF_reg_B0285.4.1	B0285.4.1	32.5671606129009	III	4343445
q90TOF_reg_B0285.4.2	B0285.4.2	35.7391678576556	III	4343445
q90TOF_reg_B0285.5.2	B0285.5.2	35.8677940929931	III	4345337
q90TOF_reg_B0285.6.1	B0285.6.1	35.192345842132	III	4350102
q90TOF_reg_B0285.7.1	B0285.7.1	34.5529929402039	III	4356594
q90TOF_reg_B0285.8.1	B0285.8.1	35.8232791308267	III	4365285
q90TOF_reg_B0285.9.1	B0285.9.1	35.6073524888329	III	4367609
q90TOF_reg_B0285.9.2	B0285.9.2	35.4697588439778	III	4367832
q90TOF_reg_B0286.1.1	B0286.1.1	35.7260884976359	II	4375504
q90TOF_reg_B0286.1.2	B0286.1.2	35.6189550063253	II	4378495
q90TOF_reg_B0286.2a.1	B0286.2a.1	34.0272242112128	II	4359082
q90TOF_reg_B0286.2b.1	B0286.2b.1	33.4550638310575	II	4366191
q90TOF_reg_B0286.3.1	B0286.3.1	35.6185471723732	II	4369625
q90TOF_reg_B0286.3.2	B0286.3.2	36.3430349393973	II	4369622
